0
Jessica St. Clair
help from Felix Salmon’s interactive game
Rich Slaton
Colton Underwood
Daniel Genis
Julie Barton
Paul Sinha
Fmr. Rep. David Jolly
James Hetfield
James Colquhoun
Jonathan Ames
Graham Clark
Gregory Brothers
Wynton Marsalis
Donna Brazile
Fareed Zakaria
Noah Galvin
Mikey Roe
Geoffrey Powell
Kiley Jon Clark
Sam Hammond
Nick Turturro
Marc Guggenheim
Laganja Estranja
David Clark
Kevin McCaffrey
Cathy Young
Shane Dawson
James A. Lindsay
Isis King
Kevin Bartelt
Brandon Webb
Jon Stewart
Christy Chapin
Cameron Hanes
Eli Attie
Stephen Hawking
Jill Coleman
Thomas Tull
Mike Schrantz
Jonny Bowden
Lexxi Foxxx
Maria Konnikova
Scott Stabile
Ali Rosen
Lily Marston
Anna Kendrick
Open Tabs
Domhnall Gleeson
Joy Reid
Lance Bass
Chris Thompson
David Nussbaum
Stephanie Newman
Diana West
Lydia Popovich
Ryan Holiday
Elynah
Leah Pearlman
Mandy Moore
James O’Keefe
Kenya Moore
Samuel Morris Brown
Former Vice President Joe Biden
David Perlmutter
Amy Landecker
Dean Delray
Evan McMullin
Cody Ko
Pop
Liz Mair
Cousin Jeanette
Jason Stirman
Steve Molaro
Jenn Hyman
James Ransone
Ethan L. Menchinger
Splitting Raisins
Dean Unglert
Steve Smith Sr.
Rev. C.L. Bryant
Shanta Devarajan
Mary Mack
Katrina Lake
Josh Loewen
Howard Tsai
Bruce D. Haynes
Jarret Jack
Danny Fields
Etta Devine
Maya Rudolph
Richard D. Brown
Jonathan Coulton
Mario Cantone
Matt Rife
Amy Holmes
Adam Perkins
Terry George
Jessica Hynes
Louis Cole
Mike Ritland
Cher
Erik Charles Neilson
Colin Grant
Joe Casey
Casey Crescenzo
Shawn Wayans
Ted Slingerland
Shawn Halpin
Phoebe Bottoms
Hair Drapes
Lisa S
Sooyah Jun
Alexandra Deutsch
Tao Ruspoli
Tony Rock
Judy Blume
Cliff Asness
Lee Daniels
Robert J. Richards
Christopher I. Beckwith
Josh Waitzkin
Timothy Snyder
Fiona Helmsley
Jim Rogers
Kathy Shubin
Lynne Koplitz
Mariana Van Zeller
Martin Polanco
Heather Thomson
Phoebe Robinson
Jillian Melchior
Meg Whitman
Faisal Saeed Al Mutar
Paul Dano
Jenny Toews
Arthur Darvill
Sam Harris
Craig Shoemaker
Narayana Kocherlakota
Cariad Lloyd
William Bell
Chip Chantry
Bill Parcells
Alec Baldwin
Filippo Osella
Matty Matheson
Beth Joy Papaleo
Steve Agee
Janey Godley
Edgar Wright
Frances Davis
Barney Frank
Nikki Lynn Katt
Mel Brooks
Kristin Diehl
Beau Lotto
Jennifer Blanchard
Tim Burnett
Conner O’Malley
Julie Borowski
Feng Chao
Ian Nelms
Margaret Cho
Joi Ito
John Tole
Michael
Simon Johnson
Michael Steele
Georgea Brooks
Ilana Glazer
Cathy Hughes
David Beer
Corey Knowlton
Leigh Eric Schmidt
Ernst Roets
Bill Whittle
Barry Sobel
Richie Redding
Craig Anton
Brian Ortega
Erica Rhoades
Gizelle Bryant
April Mouton
Iza Lach
Rich Roll
Mystery Guest
Allison Task
Mike Shellenberger
Patrick Roadhouse
Larry Zerner
Kristin Clifford
Felice Herrig
Candace Owens
Simeon Djankov
Amy Sullivan
Miroslav Vitous
Katie Manzella
Kelly Provocateur
Barry Katz
Zack Pearlman
Mark Hunter
Alanna Kaivalya
Sarah Kay
John Avlon
Chip Pope
Cara Santa Maria
Jack Antonoff
David Sanger
Leah Mansfield
Sam Schacher
Jigoro Kano
Mark Fleischman
Jorg Matthias Determann
Michael A. Wood
Darren Carter
Dominic Orr
Padma Lakshmi
Lawrence Wilkerson
Esther Perel
Lamar Odom
Malcolm McDowell
Maury Povich
Brandt Tobler
Jayden Cole
Dave Merheje
Jonah Lehrer
Kristen Doute
anonymous defense contractors
James Van Der Beek
Terry Dubrow
Lizzie Valasquez
Marc Webb
Jeff Ros
William J. Clancey
Steven Strogatz
John Podhoret
Michael Key
Kellyann Petrucci
musician James Deem
Sergio Magaña
Nick Curson
Charlie Brooker
Brian Nosek
Melissa Chen
Mark McKinney
MKBHD
Steve Mazan
AJ Leon
Greg Ip
Buzz Aldrin
Ruth Harris
The Indoor Kids
Gustavo Yacaman
Mike Huckabee
Rutledge Wood
Bryan Caplan
Lorenzo Hodges
Arthur Brooks
Dan Berkenstock
Julie Nelson
Jeffrey Frankel
Bobby Flay
Kaseem Bentley
Patti Stanger
Matthew Gosney
Jessica Gao
Anthony Cumia
Jackie Warner
Wild Horses
Robynn McCarthy
Emma Roberts
Kasim Reed
Mike Konczal
Alyssa Edwards
Shaun Phillips
Richard Jenkins
Stephen Mansfield
Mary Katharine Ham
Celebrity Turnstile
Jason Mewes
Tre Hardson
Susan Burke
Ben Schwartz
Mary Holland
Carla Cackowski
Jessica Chaffin
John Heilemann
Michelle Monaghan
Scott Ian
Todd Strauss
Danny McBride
Bingo
David Limbaugh
Carl DeGregorio
Tod Mesirow
Ken Jeong
Frank Ricks
Manolo Moreno
Jon Wurster
Meghan Daum
Raj Suresh
Glitter Cheese
Steven Moffat
Peter Higgs
Bree Essrig
Molly Shannon
Al Gore
Rita Dove
Erin Gibson
Eddie Wineland
Neil Shubin
Dustin Marshall
Mike Koman
Courtney Robertson
Bob Loomis
Rick Ross
American Veda
Tony Law
Pavel Tsatsouline
Kevin O'Shea
Sabina
Chris Turner
Simanti Dasgupta
Jude Law
Lisa Strohman
Sean Stephenson
Joe Wengert
Angela White
Bobby Kelly
Joseph November
Kimberly Wyatt
Nicholas Eftimiades
J.K. Simmons
Holly Holm
Alan Jouban
Jack Canfield
Jimmy Pardo
Our Wives
Sarah W. Goldhagen
Leslie Ellis
Pete Holmes
Ibrahim Karim
Rupi Kaur
Mike Smith
Jeremy Hache
Joel Stein
Lewis Cirne
Jessica Hagy
Panti Bliss
Tracy Young
Valerie Jarrett
Thomas Sowell
Trevor Moran
Ruben Rivera
Eden Sher
Jackie Gold
Hannah Ferrier and Adam Glick
Mike Jaglin
Carl Rollyson
Billy Crystal
Godfrey
Parisa Tabriz
Ethan Slater
Marwa Elshakry
Brendon Burns
DJ Drama
Jeff Housenbold
Eddie Griffin
Abdullah Saeed
John Bew
Aaron Mahnke
Dave Ross
Karen Margolis
Thomas Jane
Carrie Poppy
Tom Shadyac
Amber Cantorna
Mauricio Alvarado
Star Fawkes
Sean Penn
Scarface
Dan Abrams
Glenn C. Loury
Ashley Ward
Nicole Aimee Schreiber
Kerryn Feehan
M. Emmet Walsh
Joy Villa
JB Smoove
Nick Papadakis
Josh Temple
Sam Kieffer
Devin The Dude
Prodigy
Jackfilms
John Hackleman
Tom Ballard
Cleopatra Coleman
68
Patton Oswald
Elisabeth Moss
Norm Macdonald
Veronica Baker
Sophie Egan
Josh Peck
Randy Roberts
Sonia Denis
Gavin Andresen
Andy Slifkin
Taylor Tomlinson
Roisin Conaty
The Al's
Steve Poggi
Lois Smith
Courtney Pauroso
John Sayles
Bob Metcalfe
Eureka Vapor
Bob Forrest
Boosie BadAzz
Jon Nielsen
Michael Spence
David Foley
Joe Hafkey
Jenn Sterger
Jr.
Walter Scheidel
Meatball Fulton
Geoff Asmus
Eric Weddle
Orny Adams
Luis von Ahn
Emily Best
John Ross Bowie
Corin Nemec
Matt Vengrin
Mark Wiener
Japonica Brown-Saracino
Sin Quirin
Ed Stafford
Gloria Estefan
Nathan Hubbard
Kristin Bauer van Straten
James Penner
Ali Wentworth
Jack Carroll
Ivana Milic
Miss Fame
Lily Collins
Ironmind
Kitty Bruce
Laura E. Smith
Janice Min
Binaural Beats
Will Leitch
Dan Barker
Frankie Quinones
Harry Lennix
Roaming Millennial
Rich
Jewel
Ellie Kemper
Khloe Kardashian
Al Ramadan
Greg Behrendt
Yael Shy
Stefan Molyneux
Danny Meyer
Cody Garbrandt
Cindy Whitehead
Timothy Speed Levitch
Mo Mandel
Sam Reich
Crosby Tailor
Elizabeth Vargas
Big Freedia
Kelli Ogmundson
Christopher Witko
Deb Cowen
Nina Shapiro
David Daigle
The Fullbright Company
Jennifer Lawless
Yvette Nicole Brown
Stevie Ryan
Michael Blackson
Tina Roth Eisenberg
Will Storr
Jake Ellenberger
Liz Phair
Louis Peitzman
John Feehery
Kristen Stewart
Jeff Larsen
Audie Cornish
Daniel Willingham
Rick Wallace
Kristen Johnston
Michael Keaton
Ashlee Vance
Louis Menand
Angela Yee
Adam Savage
Shawne Merriman
Ezra Klein
Chemda Khalili
Debra Berger
Internet Comment Etiquette
Kyle Forster
David Graeber
David Icke
Joey Greco
Glenn Howerton
Alex Epstein
Allison Moon
Joel McHale
Jimmy Moore
Big Jay Oakerson
Chris Blattman
Richard Hunter
Jon Hamm
Sara Bynoe
Carl Reiner
Amy Dickinson
Goldie
Shuli Egar
Nancy Pelosi
Daisy Hay
Joe House
Graham Allison
Paul Gutjahr
Amanda Seales
Austin Petersen
Jenny Johnson
Je Suis Paris
John Moffitt
E.R. Truitt
Anthony Gill
All Killa No Filla
Thomas Palley
Benn Steil
John Lithgow
George Shapiro
Dana Snyder
Alicia Keys
Seth Green
Sara Gottfried
Martin Olson
Jackie Koppell
Matt King
Maseo from De La Soul
Elena Argento
Kristen Anderson Lopez
Sarah Lane
Miles Kimball
YouTube Is Doomed
Nick Naney
Tobie
Graham Elwood
Steven Kotler
Pete Dominick
Sean Proudlove
Sleigh Bells
Mark Ruffalo
P. J. O'Rourke
Jeff Johnson
Amber Harper-Young
Matt Taibbi
Bre
Armstrong Williams
Liz Wiseman
Razzle Dangerously
Thomas Fife
Jesus
Jennifer Fewell
Tony Sandler
Ken Miller
Marc Tessier-Lavigne
Stipe Miocic
Baratunde Thurston
David Steinberg
Angela N. H. Creager
Dan Senor
Jamila Michener
DC Pierson
Narayanan Janakiraman
Dan Shapiro
Judith Curry
Noah Villalobos
Ellie Shermer
Chris Kresser
Mike Phirman
Jason Weems
Marky Ramone
Mitch Burrow
Rob Greenfield
Roger Nygard
Brendhan Lovegrove
S.E. Cupp
Patty Farmer
Brie Larson
Oprah's Book
Alex Castellanos
G Reilly
Pete Adeney
James Randi
Aries Spears
Geoff Martin
Chris Coy
Jared Thompson
Chris Gethard
Calpernia Addams
Jess McKenna
Abena Dove Osseo-Asare
Paul Begala
Jeremy Bailenson
Ronald Coase
Francine Wheeler
SA
Antonio Damasio
Julian Mann
Johann Hari
Eric Slovin
Royce Gracie
Joe Gebbia
Alain Moussi
Twinnovation Boys
Yaron Brook
Patrick Breen
Jemar Tisby
Olivia Grace
Paul Rodriguez
Wayne Knight
Tom J Deters
Gabe Lutge
Doug Rivers
Major Garrett
David Ludwig
John Seely Brown
William Shatner
Antonia Cereijido
Michael Showalter
Simon Rich
Henry Cejudo
Sean Combs
Oren Klaff
Brad Williams
Chris Jericho
James Clapper
Alex Jones
David Vanderveen
Peter Godfrey-Smith
Macklemore
Jake Schick
Tommy Sotomayor
Nore
Pamela Adlon
Keith Hernandez
Donald Boudreaux
Alingon Mitra
Molly Ladd-Taylor
Jean Twenge
Simon Baker
Uncle Mike
Nariko Ott
Richard White
Joel Isaac
Daron Acemoglu
Christine Sydelko
Mitra Jouhari
Blake
Cathy Ladman
Matt Fulchiron
Annabelle Gurwitch
Lauren Sivan Speaks Out
Ally Beardsley
Kathleen Kennedy
Michelle Is A Wolf
Alex Ahad
Michael Rappaport
Jimmy Tingle
Dennis Hoff
William McDonough
Patricia Ward Kelly
Alisa Esposito
Beth Pratt-Bergstrom
Brendan O’Neill
N.O.R.E.
Chris Laxamana
Andy Dick
Asterios Kokkinos
Brandy Howard
Amanda MacKenzie Stuart
Lewis From Unbox Therapy
Davis Guggenheim
Ted Melfi
Asa Akira
Jonathan Chait
Mark Consuelos
Sam Raimi
Seamus Grimes
Tom Lennon
Jak Knight
Tom Davis
Lili Taylor
Maan Al-Manaseer
Shonda Rhimes
Mike Bridenstine
D. B. Weiss
Justin Wren
Brother Polight
Adam J. Criblez
Soulja Boy
Katia Kvinge
Jim Woods
Sara Pascoe
Steve Skrovan
Bill Murray
Beth Stelling
Josh Gad
Ronny Chieng
Matt Oberg
Hunter Maats
Kevin Banner
Mara Marek
Harold Ford Jr.
John Evans
David Quirk
Esther Povitsky
Michael Page
Tom Merritt
Ryan Patel
Hugh Martin
Bryan Callen
Joel Hodgson
Lucas Steele
Nina Oyama
Chad Gilbert
Thanissara
Leigh Fought
Steven Crowder
Simon Mann
Scaachi Koul
Nick Diaz
Didi Chuxing
Ryan Cleek
Kevin Rose
Charles Cooke
George Perez
Al Jackson
Mark Thornton
Steve Israel
Loch Kelly
Sam Richardson
Symone Sanders
Nick Ciarelli
Ralph Reed
Lauren Cook
Mario Batali
Joachim Cooder
Saoirse Ronan
Ben Hauck
Jamie Kalven
Ron Placone
Sophia Amoruso
Brody Stevens
Danielle Staub
Nick Megalis
Richard Rohr
Max Tegmark
Eli Yudin
Michael Shermer
Katerina
Yvette d'Entremont
Leo Laporte
Wanyi Jiang
Music in Film
Troy Walker
Flying Lotus
Mark Cheng
Brad DeLong
Bryan Gutmann
Molly Hawkey
Dave Sirus
John Quiggin
Pat McAfee
Micah Sherman
Errol Morris
Bill Goldberg
Edgar Momplaisir of Culture Kings
Mike Escamilla
Andy Hnilo
Richard L. Davis
Peter Conti-Brown
Michael McCaul
Madeline Zima
Doug Smith
Paul F. Tompkins
Governor Andrew Cuomo
Jon Anik
Tom Wilson
Anne Phillips
RestWise
Clifford Koufman
Berghahn Books
Michael Moyniha
Oren J. Sofer
Leland Melvin
William S. Belko
Maureen Wheeler
Rashida Jones
Kevin Durant
Amy Roiland
Guy Torry
Ronna Glickman
Jeff Cesario
Adam Levin
Ella Kociuba
Brian Jimerson
Reena Calm
Cory MacLauchlin
Matt Broussard
Richard Painte
Jill Jensen
Alexander Cheves
Kay Cannon
Chris Mannix
Andrew W.K.
Taylor Bos
Taisu Zhang
Todd H. Weir
Amanda Cerny
Zach Woods
Rob Dyrdek
Michael Breus
Drew Houston
Aaron Frank
Maggie Rowe
David Nemer
David Eagleman
Becky Johnson
Cardi B
Matthew Berry
Tom Cruise
Matt O'Brien
Spring Washam
Martin Eberhard
James Sexton
Neil Cambell
Patrick Hastie
Brittany Cartwright
