	pr	hub	auth	eccentricity	closeness	betweenness	degree_cen	eigen
Matt Newell	0.00010845707624969973	9.499340019876802e-05	0.0	6	0.2899640964267396	1.0541211075523983e-08	0.001768867924528302	0.0027959461612277127
Andres du Bouchet	0.00010845707624969973	0.0007021417947200158	0.0	5	0.31975867269984914	1.1473029105564291e-05	0.001768867924528302	0.01020527352076966
Tracy Morgan	0.00010845707624969973	0.0002506919086526115	0.0	5	0.32006038875259485	0.0002700222894577414	0.0023584905660377358	0.0033735266498729263
Jordan Vogt-Roberts	0.00010845707624969973	0.0006598007125070813	0.0	4	0.3563025210084034	0.0	0.0023584905660377358	0.01261368172772965
Jesse Joyce	0.00010845707624969973	0.0007618401721987562	0.0	5	0.3408360128617363	3.81986788374611e-05	0.0029481132075471696	0.012765091781262372
Alaska Thunderfuck	0.00010845707624969973	3.577745287850729e-05	0.0	5	0.26750788643533124	3.1753678955573106e-06	0.001768867924528302	0.0006024719284170628
Frank Grillo	0.00010845707624969973	0.0002169607716440836	0.0	5	0.3245933014354067	9.488900486660833e-05	0.003537735849056604	0.006226412140548669
Jack Ferry	0.0035822203597845673	0.0	0.002975617804283669	4	0.3686155183655727	0.013253883666193718	0.03242924528301887	0.019650332833347637
Justin Martindale	0.00010845707624969973	0.0006638235806400254	0.0	5	0.33710991850526734	1.3916407009308689e-05	0.001768867924528302	0.010741158780988502
Neil deGrasse Tyson	0.0028591304076015177	0.0005265450683492706	0.0	4	0.3606208802891771	0.006147366626745229	0.020047169811320754	0.008696307890225194
Milo Yiannopoulos	0.00010845707624969973	0.00021270911285874863	0.0	5	0.32602845059592467	0.0001239246844065267	0.0029481132075471696	0.0038085404008693555
Andy Weir	0.00010845707624969973	2.7720323512673118e-05	0.0	5	0.27922291735265065	0.0001279210462792142	0.0023584905660377358	0.0005279677070275415
Paul Provenza	0.00010845707624969973	0.0011932248091032494	0.0	4	0.35825940008449514	0.0005656266288224574	0.0047169811320754715	0.019627486667086313
Godfrey	0.00010845707624969973	0.0006726804709084264	0.0	4	0.3512841756420878	0.0003445774674493523	0.005306603773584905	0.015188932719870726
Richard Dawkins	0.00010845707624969973	3.960259288425585e-05	0.0	5	0.28499411863552343	7.745668881875787e-06	0.001768867924528302	0.0007751363633425715
Rebecca Hall	0.00010845707624969973	7.113488135619347e-05	0.0	5	0.2697630030221091	7.123722628024109e-06	0.001768867924528302	0.0010097934949839901
CM Punk	0.00010845707624969973	0.00026060407830487756	0.0	5	0.3370429252782194	9.341911786605435e-06	0.001768867924528302	0.0050693541949243595
Spike Feresten	0.00010845707624969973	0.0004414231734563601	0.0	5	0.3464052287581699	6.49389430802156e-05	0.001768867924528302	0.007498656960105716
Chris Thayer	0.00010845707624969973	0.0015455875779064572	0.0	4	0.36054421768707484	6.266203432488503e-07	0.003537735849056604	0.024554947864084516
Yoshi Obayashi	0.00010845707624969973	0.0005907935727501261	0.0	5	0.34221146085552867	9.016735039386451e-06	0.0029481132075471696	0.012530258924147714
Rachel Bloom	0.00010845707624969973	0.0010569271364498343	0.0	4	0.363169164882227	3.790934527028901e-05	0.003537735849056604	0.018211418997505828
Chris Cubas	0.00028738873726173795	0.0006006939976146205	0.0006051368015710208	5	0.3449959316517494	4.8571213839029884e-05	0.004127358490566038	0.012879209353606829
David Silver	0.00010845707624969973	0.00010616636692160051	0.0	5	0.3313794450957405	0.00025502313741270144	0.006485849056603773	0.002635540941784641
Kumail Nanjiani	0.020191605211064754	0.0038266536592061573	0.009006654717621005	5	0.30334466106242175	4.302862501616394e-07	0.0023584905660377358	0.10194950683929498
Chad Zumock	0.00010845707624969973	0.00079131087286177	0.0	4	0.4304568527918782	0.019992261709189413	0.05483490566037735	0.014240813946682102
Dave Holmes	0.00010845707624969973	0.001226132505757804	0.0	5	0.32868217054263565	2.784928173577727e-06	0.003537735849056604	0.020670662489845455
Cassie Jaye	0.00010845707624969973	2.298248923162843e-05	0.0	4	0.3704674530362604	6.628288739112247e-05	0.004127358490566038	0.014791710402406332
Alex Schmidt	0.00010845707624969973	8.737683824245766e-05	0.0	5	0.350558081852005	5.010041280352567e-05	0.005896226415094339	0.0024519592801757312
Tom Wilson	0.00010845707624969973	0.00099821949265263	0.0	5	0.2862447257383966	6.832254329349367e-07	0.001768867924528302	0.015195877499304218
Paul Bloom	0.00010845707624969973	2.1305987026798178e-05	0.0	5	0.3531861724281549	1.2636638388324748e-06	0.0023584905660377358	0.00045502084583491913
Josh Wolf	0.00010845707624969973	0.0019187658971116142	0.0	5	0.2791769547325103	8.99904743357603e-05	0.0023584905660377358	0.03950925843913797
Thomas Thakkar	0.0006925599656456871	0.0	0.0023078233358061573	5	0.367816091954023	0.0001339912273856823	0.01061320754716981	0.012262226642249883
Jacqueline Novak	0.00010845707624969973	0.0009724888352382857	0.0	5	0.3304754481683554	0.0004971682015665794	0.012971698113207546	0.014454758205442434
Alec Baldwin	0.00010845707624969973	5.458743222619735e-05	0.0	5	0.3504132231404959	4.588406302464923e-09	0.001768867924528302	0.0009045745135315213
Dan	0.00010845707624969973	0.00026037973728045385	0.0	5	0.27496757457846954	3.631546770492578e-05	0.001768867924528302	0.004873642806351181
Jamar Neighbors	0.00010845707624969973	0.0012312402263929831	0.0	5	0.3071350959797175	1.869593232154432e-05	0.001768867924528302	0.02391552663731884
Adam Savage	0.00010845707624969973	0.00023384845726128267	0.0	5	0.28098078197481774	4.064973483217056e-05	0.0023584905660377358	0.0038155325311986484
Nate Craig	0.00010845707624969973	0.0018909322932092532	0.0	5	0.3471142038477282	2.004580945639072e-05	0.005306603773584905	0.029994776011407584
Big Jay Oakerson	0.0006482593591232993	0.001427988407725002	0.0008568509604524534	5	0.3332678325800747	0.0005578547249133277	0.0029481132075471696	0.02905410362939183
Brandon Rogers	0.00010845707624969973	5.415360704701646e-05	0.0	5	0.3640266151534664	2.6943478227096642e-05	0.0047169811320754715	0.0012824553768953095
Casey Ley	0.00010845707624969973	0.0007029546747811148	0.0	5	0.36797569971794314	0.0007761812573873866	0.010023584905660377	0.009625932568662367
Robbie Lawler	0.00010845707624969973	0.00016312182964132568	0.0	5	0.27716947213596993	1.2649453290628778e-08	0.001768867924528302	0.004641495540233467
Krystyna Hutchinson	0.00010845707624969973	0.0007000046752686681	0.0	5	0.3162998881014547	6.401391413398005e-06	0.001768867924528302	0.012591855466616945
John Gonzalez	0.0012542069138911664	0.0	0.00016237302318612283	5	0.3064137308039747	1.2040689702608507e-06	0.0023584905660377358	0.0009384384496336007
Chris Jericho	0.00010845707624969973	0.0002387912801673138	0.0	4	0.3545891699770019	0.0005820019923677032	0.004127358490566038	0.00419845208181403
Alfred Molina	0.00010845707624969973	0.0005101291086912675	0.0	5	0.289419795221843	0.010579829763959782	0.04363207547169811	0.0078466049810936
Anna Faris	0.005635404884134296	0.0007533225821640682	0.004704093768776959	5	0.32983274990276157	1.070664841302944e-05	0.001768867924528302	0.03212491772262557
Bas Rutten	0.00010845707624969973	0.0005207019114875415	0.0	4	0.3523789736131311	9.14105341939711e-05	0.0023584905660377358	0.011787601427796857
Joe DeRosa	0.00010845707624969973	0.002718541726728562	0.0	4	0.37823371989295274	0.009667651813630723	0.03714622641509434	0.04740994385856607
Mark Serritella	0.00010845707624969973	0.0002999142480432977	0.0008477218376848438	5	0.3355093966369931	7.209272624566957e-05	0.005306603773584905	0.00870982535488143
David Cross	0.00010845707624969973	0.0004125684166188419	0.0	4	0.38241262683201804	9.827786382040765e-05	0.009433962264150943	0.007247075401920472
Duane Ludwig	0.00010845707624969973	0.0002990522021018039	0.0	5	0.3097716894977169	3.7204274384202293e-09	0.001768867924528302	0.006128270124370694
Michael Connelly	0.00010845707624969973	8.590614238623014e-05	0.0	5	0.34443541835905767	1.6914225759225422e-05	0.001768867924528302	0.0012593271243693585
Sheng Wang	0.00010845707624969973	0.0009547678708310896	0.0	5	0.32304761904761903	8.806581404868138e-09	0.001768867924528302	0.014347419846714988
Charles Rogers	0.00010845707624969973	0.0001220061551971891	0.0	5	0.2747893713545042	0.00012290850465819037	0.0023584905660377358	0.0033735266498729263
Elijah Wood	0.00010845707624969973	0.0003346197559134059	0.0	5	0.3458401305057096	8.600330460878928e-06	0.0023584905660377358	0.005145439024886079
Matt Jones	0.00010845707624969973	0.0005685010092628324	0.0	5	0.2888775336399251	6.369970542446087e-08	0.001768867924528302	0.010042995858338392
Brooks Wheelan	0.00010845707624969973	0.002191679956637982	0.0	5	0.3345827579404222	6.467861554907423e-05	0.0029481132075471696	0.0375039441233295
Ryan Gaul	0.00010845707624969973	0.0001527960786157446	0.0	5	0.3309268292682927	4.934183907692077e-09	0.001768867924528302	0.0038981702608777077
Jimmy Smith	0.00010845707624969973	0.0002115587862303635	0.0	5	0.36551724137931035	0.0008565846829989067	0.008254716981132075	0.0045193428491043545
Zach Reino	0.00010845707624969973	0.00016188600591478464	0.0	5	0.3006559120723276	6.671550842625899e-06	0.0023584905660377358	0.004812539986781976
Chris Distefano	0.00010845707624969973	0.0004170216649149241	0.0	5	0.3231707317073171	1.1595332183076382e-08	0.001768867924528302	0.0078947168149252
The Sklar Brothers	0.00010845707624969973	0.0002496771172688726	0.0	5	0.3037793301092603	7.799431147694015e-06	0.0029481132075471696	0.005486961519513542
Bruce Campbell	0.00010845707624969973	0.0003715847839434978	0.0	5	0.3235406333460511	5.580657531542393e-07	0.001768867924528302	0.006777046118795851
Maeve Higgins	0.00010845707624969973	0.0005614446966083407	0.0	5	0.320362674726105	1.51243463257518e-08	0.001768867924528302	0.008445503471550375
Yakov Smirnoff	0.00010845707624969973	0.00067829772309823	0.0	5	0.34485563237088246	0.0002892591789083826	0.004127358490566038	0.011419193227755052
Chelsea Peretti	0.00010845707624969973	0.0009698251501034979	0.0	5	0.3247797778628878	7.2737301115445685e-06	0.001768867924528302	0.022040785207490882
Richard Jenkins	0.00010845707624969973	5.5822846598322874e-05	0.0	5	0.3235406333460511	3.7204274384202293e-09	0.001768867924528302	0.0016661003776144779
Jennette McCurdy	0.00010845707624969973	0.0005385166601035101	0.0	4	0.363169164882227	5.5035753141428546e-05	0.005306603773584905	0.009066002812774551
James Gunn	0.00010845707624969973	0.0005912180612967587	0.0	5	0.3089815995627619	8.154097322110213e-06	0.001768867924528302	0.011732223783710602
Mark Agee	0.00010845707624969973	0.00014214822758181226	0.0	4	0.3564522908785204	3.397306924671743e-05	0.001768867924528302	0.0035589216109370115
Billy Wayne Davis	0.00010845707624969973	0.0006020810292804568	0.0	5	0.34954657873042044	1.2274237582313628e-05	0.0029481132075471696	0.011656448561435802
Rose Lleshi	0.00010845707624969973	0.0002564271781418799	0.0	5	0.29985855728429983	3.512788424181987e-06	0.001768867924528302	0.0056394552475617
Kevin Feige	0.00010845707624969973	0.000274421407090732	0.0	5	0.35407098121085595	4.52791386316294e-05	0.0029481132075471696	0.004317535692523628
Brenton Biddlecombe	0.00010845707624969973	0.00014297951808316402	0.0	5	0.3158875023281803	1.458414581442079e-07	0.001768867924528302	0.014821943226683336
Michael Ian Black	0.00010845707624969973	0.0007060043783551994	0.0	5	0.33209320540434695	3.005665314602203e-05	0.001768867924528302	0.004879169236857964
Gabe Killian	0.00010845707624969973	0.0002564271781418799	0.0	5	0.30802760624772973	2.8026611199169487e-06	0.0023584905660377358	0.00364064739408295
Tim O'Reilly	0.00010845707624969973	2.5773616354787435e-05	0.0	5	0.3068017366136035	5.635794785257083e-06	0.001768867924528302	0.0056394552475617
Taco Trey Kerby	0.00010845707624969973	8.8045242066224e-06	0.0	5	0.3158875023281803	1.458414581442079e-07	0.001768867924528302	0.0006999007539598388
