	Podcast Name	Hosts	feedURL	imageURL	categories	keywords	cleaner	description
41	Race Wars	['Kurt Metzger', 'Sherrod Small']	http://feeds.feedburner.com/RaceWarsPodcast	http://i1.sndcdn.com/avatars-000116363259-s7xsz1-original.jpg	['Comedy']		clean_race_wars	 Hilarious, honest and unfiltered, Race Wars with Kurt Metzger and Sherrod Small delivers a brutally funny perspective that can't be found anywhere else.  Kurt and Sherrod cut through all the layers of politically correct media spin to deliver hysterical and truthful opinions on social, racial and global topics. 
42	The Todd Barry Podcast	['Todd Barry']	http://feeds.feedburner.com/TheToddBarryPodcast	https://dfkfj8j276wwv.cloudfront.net/images/81/c4/84/5a/81c4845a-4439-4603-9a25-9da4aad24bc4/d40c3bfe15c68ed577cd24af10b69e9a87e90d6c26601b0aa92fe9b53fbbf05416b40b531262c6ad7386cdd58abb50b0810c7a92f478b186ec7e9df579cc2412.jpeg	['Comedy']	comedy	clean_todd_barry	Highly regarded and amazing comedian Todd Barry talks to friends -- and maybe people he doesn't know -- about their careers, travel, food, and various other topics. Sounds good, doesn't it? Yeah. It really does.
43	My Dumb Friends	['Dan St. Germain', 'Sean Donnelly']	http://feeds.soundcloud.com/users/soundcloud:users:66989075/sounds.rss	http://i1.sndcdn.com/avatars-000225140756-t0z7qh-original.jpg	['Comedy']		clean_my_dumb_friends	Dan and Sean spend half the podcast talking to guests about the baffling choices they've made in life. The other half is Dan St. Germain and Sean Donnelly yelling at each other like an old married couple that should be divorced. It's not for everybody. Produced (and often co-hosted) by Thomas Attila Lewis.
44	Pleasure Monkey Podcast	['Conner Moore']	http://pleasuremonkey.libsyn.com/rss	http://static.libsyn.com/p/assets/b/1/4/7/b1470697c8f3fe34/PMP_LOGO_1440.png	['Health', 'Self-Help', 'Fitness & Nutrition', 'Society & Culture', 'Philosophy']		clean_pleasure_monkey	"On The Realness, the only thing off limits is bullsh*t.

Conner and his guests explore the beautiful mess called life with unapologetic authenticity and no shortage of strong language. Unedited, ridiculous, and impactful all wrapped up in one big sexy show. "
45	Louder With Crowder	['Steven Crowder']	http://feeds.feedburner.com/LouderWithCrowderPodcasts	http://louderwithcrowder.com/wp-content/uploads/2014/10/steven-podcast.jpg	['News & Politics', 'Comedy']	Steven,Crowder,Steven,Crowder,Louder,With,Crowder,Conservative,Comedy,News,Pop,Culture,Politics,Republican,Libertarian,Entertainment,Radio,Fun,Dip,Debate,Guests,Callers,Pranks,Rowdy	clean_steven_crowder	Steven Crowder brings you news, entertainment and politics with the most politically incorrect show on the web. Guests, rants, sketches, your calls ... it's whatever.
46	Doughboys	['Nick Wiger', 'Mike Mitchell']	https://rss.art19.com/doughboys	https://dfkfj8j276wwv.cloudfront.net/images/16/d5/d9/b2/16d5d9b2-112b-44de-9f9d-dbbef0ea091a/59256c2c15b5aefee93d4aada1d4954fce5199dea9ae73e6a186c94e237b8becb6dec329ec34ce40e50456ba6ecdad67df4ea18e66a95f620934c0af9ecb3c7f.jpeg	['Comedy', 'Arts']	snacks,restaurants,healthfitness,fastfood,chains,mike mitchell,Spoonman,doughboys,nick wiger,fast food,ucb	clean_doughboys	"
      The podcast about chain restaurants. Comedians Mike Mitchell and Nick Wiger review fast food/sit-down chains and generally argue about food/everything.
    "
47	The Bill Simmons Podcast	['Bill Simmons']	https://rss.art19.com/the-bill-simmons-podcast	https://dfkfj8j276wwv.cloudfront.net/images/f3/b2/15/7a/f3b2157a-6c3b-4851-83bb-74a9f9e51acb/032d72a5537ea8cbe4116e2f56c929c3c14ef6f0b6659eee2cd974e394793134ed59a2c3261203ba5f9648fe51af6eda43a11e0590e764b45c45a31391777bc6.jpeg	['Sports & Recreation']		clean_bill_simmons	"
      <p>HBO and The Ringer's Bill Simmons hosts the most downloaded sports podcast of all time, with a rotating crew of celebrities, athletes, and media staples, as well as mainstays like Cousin Sal, Joe House, and a slew of other friends and family members who always happen to be suspiciously available.</p>
    "
48	Legion of Skanks Podcast	['Big Jay Oakerson', 'Luis J. Gomez', 'Dave Smith']	http://legionofskanks.libsyn.com/rss	http://static.libsyn.com/p/assets/e/3/4/9/e349fe6b63c036b6/Untitled_design-7.jpg	['Comedy']	big,comedy,dave,gomez,j,jay,luis,oakerson,smith	clean_legion_of_skanks	"
      <p>Legion of Skanks has been called ""the most offensive podcast on Earth"" and the hosts and creators wouldn't want it any other way! Stand up comedians and real-life best friends Big Jay Oakerson, Luis J. Gomez, and Dave Smith host their weekly ""podcast party"" from the Creek and Cave in Long Island City where they invite their loyal fans in studio to hang out and listen in as they discuss anything and everything in a hilarious and extremely uncensored way. The ""skanks"" consistently raise the bar on filth and depravity. The goal of the show isn't to educate, but rather to make you piss your pants laughing and possibly question your own moral code. The latest 15 episodes are always free, but if you want access to all the archives, watch live, chat live, access to the forums, and get the show a week before it comes out everywhere else - you can subscribe now at gasdigitalnetwork.com and use the code LOS to save 15% on the entire network.</p>
    "
49	Punch Drunk Sports	['Ari Shaffir', 'Sam Tripoli', 'Jayson Thibault']	http://feeds.feedburner.com/Punchdrunksports	http://i1.sndcdn.com/avatars-000060349991-s96mh2-original.jpg	['Comedy']	Ari,Shaffir,Sam,Tripoli,Jayson,Thibault,Sports,Comedy,Hot,Chicks,Weed,and,Ethnic,People,Lesbians,Reach,Arounds,Lob,City,Prison,Sex,Sam,Tripoli,Again	clean_punch_drunk_sports	"Punch Drunk is, for the most part, a sports podcast.  With 3 headlining stand-up comics and sometimes friends. Ari Shaffir, Sam Tripoli, and Jayson Thibault all met at the Comedy Store and have been friends for over 11 years. All 3 are stand-up comics and big sports fans. This podcast is their sports thoughts, arguments, stories, fights, and bets! The Podcast Tribune called Punch Drunk ""an asian massage for the real sports fans"".

Support the show by heading over cavemancoffeeco.com use the code 'punchdrunksports' and save 10%.

Watch/Listen LIVE on jlcn.tv Tuesdays from 12pm-2pm!!

Listen to past shows on  iTunes and Stitcher.

Full Video on YouTube.com/punchdrunksports

Tweet them @punchdrunk

Subscribe on iTunes and YouTube

Rate and Review!!!

Like, Comment and SHARE!!!

@arishaffir
@theteeb
@samtripoli
@punchdrunk

#punchdrunk"
50	Hannibal Buress: Handsome Rambler	['Hannibal Buress']	http://feeds.soundcloud.com/users/soundcloud:users:259698570/sounds.rss	http://i1.sndcdn.com/avatars-000292437283-dr2wmd-original.jpg	['Comedy']		clean_hannibal	Hannibal Buress is on the road, and he's taking you along for the ride. Each episode of Handsome Rambler is packed with Hannibal’s latest road stories and thoughts. Tune in for unfiltered observations on sports, sex, wrestling, relationships, philosophy, books, watches, other podcasts, bottled water reviews…anything can happen on Handsome Rambler.
51	Pirate Life Radio with Tait Fletcher	['Tait Fletcher']	http://taitfletcher.libsyn.com/rss	http://static.libsyn.com/p/assets/3/7/a/b/37ab08d96355a92b/Tait_Face_Logo.jpg	['Health', 'Fitness & Nutrition']	0th,bulletproof,coffee,community,excellence,fletcher,health,healthy,jitsu,jiu,mma,nibiru,planet,staybulletproof,tait,transcendence,tribe,unity	clean_tait_fletcher	Pirate Life Radio is a show about excellence... for yourself, your community, and your globe. It's about informed, accountable people that make a difference and inspire others. It's about unity, health, and transcendence. It's about building a strong tribe.
52	Hear Me This Book	['Steve Rannazzisi']	http://neverreadit.libsyn.com/rss	http://static.libsyn.com/p/assets/d/0/f/7/d0f709d5086ee4b4/Hear_This_Me_Book.jpg	['Comedy', 'Arts', 'Literature', 'Society & Culture']	hearmethisbook	clean_steve_rannazzisi	I haven't read that book that you think everyone should read.  I haven't read many books at all.  I know HOW, I just read many other things and do other things and STOP JUDGING.  So, I'll have guests tell me their favorite book and what happens and why I dumb for not reading it.  Enjoy.
53	The Jim Rome Podcast	['Jim Rome']	https://www.omnycontent.com/d/playlist/4b5f9d6d-9214-48cb-8455-a73200038129/a7c446d6-29da-43ba-bbe5-a7da00ecda4a/a65603a6-cf22-4150-91c1-a7da00ed5220/podcast.rss	https://www.omnycontent.com/d/playlist/4b5f9d6d-9214-48cb-8455-a73200038129/a7c446d6-29da-43ba-bbe5-a7da00ecda4a/a65603a6-cf22-4150-91c1-a7da00ed5220/image.jpg?t=1506004800&amp;size=Large	['Sports & Recreation']		clean_jim_rome	A new show. Fresh content. A different beast.
