	podcast1	podcast2	score
1	The Joe Rogan Experience	The Duncan Trussell Family Hour	70508807688
2	The Joe Rogan Experience	Bertcast's podcast	110151487064
3	The Joe Rogan Experience	The Fighter & The Kid	22339906810
4	The Joe Rogan Experience	Ari Shaffir's Skeptic Tank	70070591436
5	The Joe Rogan Experience	Under The Skin with Russell Brand	858925278
6	The Joe Rogan Experience	Pointless: with Kevin Pereira	35017984587
7	The Joe Rogan Experience	ID10T with Chris Hardwick	12487374764
8	The Joe Rogan Experience	Waking Up with Sam Harris	2533387433
9	The Joe Rogan Experience	Kill Tony	32713131302
10	The Joe Rogan Experience	The Rubin Report	7118978997
11	The Joe Rogan Experience	Comedy Bang Bang	497006581
12	The Joe Rogan Experience	H3 Podcast	1083143733
13	The Joe Rogan Experience	WTF with Marc Maron Podcast	1854020373
14	The Joe Rogan Experience	The Church of What's Happening Now: With Joey Coco Diaz	164983535755
15	The Joe Rogan Experience	Your Mom's House with Christina P. and Tom Segura	56556176794
16	The Joe Rogan Experience	Harmontown	4366205910
17	The Joe Rogan Experience	Freedomain Radio with Stefan Molyneux	2098673427
18	The Joe Rogan Experience	Econtalk	331349072
19	The Joe Rogan Experience	Real Time with Bill Maher	1200800145
20	The Joe Rogan Experience	You Made It Weird with Pete Holmes	27270798995
21	The Joe Rogan Experience	Anna Faris Is Unqualified	2076070857
22	The Joe Rogan Experience	Armchair Expert with Dax Shepard	0
23	The Joe Rogan Experience	Fitzdog Radio	281232144
24	The Joe Rogan Experience	Tin Foil Hat With Sam Tripoli	38352264748
25	The Joe Rogan Experience	Alison Rosen Is Your New Best Friend	38797081576
26	The Joe Rogan Experience	Tangentially Speaking with Christopher Ryan	30768352328
27	The Joe Rogan Experience	How Did This Get Made?	523381007
28	The Joe Rogan Experience	The Todd Glass Show	7015662738
29	The Joe Rogan Experience	Dumb People Town	4925976428
30	The Joe Rogan Experience	Doug Loves Movies	2790168783
31	The Joe Rogan Experience	Getting Doug with High	32479711086
32	The Joe Rogan Experience	Who Charted?	245667735
33	The Joe Rogan Experience	The Indoor Kids with Kumail Nanjiani and Emily V. Gordon	2681219014
34	The Joe Rogan Experience	Comedy Film Nerds	2003352412
35	The Joe Rogan Experience	The Champs with Neal Brennan + Moshe Kasher	1062496646
36	The Joe Rogan Experience	Julian Loves Music	310176752
37	The Joe Rogan Experience	Canceled	0
38	The Joe Rogan Experience	Stand By Your Band	220228325
39	The Joe Rogan Experience	Truth & Iliza	4938823434
40	The Joe Rogan Experience	Race Wars	10332902438
41	The Joe Rogan Experience	The Todd Barry Podcast	2335130814
42	The Joe Rogan Experience	My Dumb Friends	1306114566
43	The Joe Rogan Experience	Pleasure Monkey Podcast	1261448178
44	The Joe Rogan Experience	Louder With Crowder	5968722478
45	The Joe Rogan Experience	Doughboys	55385820
46	The Joe Rogan Experience	The Bill Simmons Podcast	613029012
47	The Joe Rogan Experience	Legion of Skanks Podcast	5224916574
48	The Joe Rogan Experience	Punch Drunk Sports	37895839560
49	The Joe Rogan Experience	Hannibal Buress: Handsome Rambler	1875783423
50	The Joe Rogan Experience	Pirate Life Radio with Tait Fletcher	7871009922
51	The Joe Rogan Experience	Hear Me This Book	6724367215
52	The Joe Rogan Experience	The Jim Rome Podcast	183321045
53	The Joe Rogan Experience	View from the Cheap Seats with the Sklar Brothers	3571765438
54	The Joe Rogan Experience	All Things Comedy Live	7333401908
55	The Joe Rogan Experience	Dom Irrera Live from the Laugh Factory	13800813517
56	The Joe Rogan Experience	Aubrey Marcus Podcast	6765724098
57	The Joe Rogan Experience	Happy Sad Confused	23921955
58	The Joe Rogan Experience	Off Camera with Sam Jones	466458074
59	The Joe Rogan Experience	Maltin on Movies	331764121
60	The Joe Rogan Experience	How I Built This with Guy Raz	31575320
61	The Joe Rogan Experience	Modern Love	10324352
62	The Joe Rogan Experience	The School of Greatness	299186447
63	The Joe Rogan Experience	The Ringer NBA Show	0
64	The Joe Rogan Experience	The Mike Lupica Show	0
65	The Joe Rogan Experience	Ask Me Another	94917859
66	The Joe Rogan Experience	Dear Sugars	0
67	The Joe Rogan Experience	The Bugle	0
68	The Joe Rogan Experience	The Daily Zeitgeist	25392624
69	The Joe Rogan Experience	SModcast	944288752
70	The Joe Rogan Experience	I AM RAPAPORT: STEREO PODCAST	3106002384
71	The Joe Rogan Experience	Never Not Funny: The Jimmy Pardo Podcast	882279000
72	The Joe Rogan Experience	The CrabFeast with Ryan Sickler and Jay Larson	21513378926
73	The Joe Rogan Experience	improv4humans with Matt Besser	0
74	The Joe Rogan Experience	Gilbert Gottfried's Amazing Colossal Podcast	0
75	The Joe Rogan Experience	Jordan, Jesse GO!	3418603005
76	The Joe Rogan Experience	Bullseye with Jesse Thorn	433625995
77	The Joe Rogan Experience	Stop Podcasting Yourself	1142133661
78	The Joe Rogan Experience	SPONTANEANATION with Paul F. Tompkins	0
79	The Joe Rogan Experience	The Pod F. Tompkast	0
80	The Joe Rogan Experience	The Dead Authors Podcast	16586009
81	The Joe Rogan Experience	The Bone Zone	9835794711
82	The Joe Rogan Experience	Economic Rockstar	0
83	The Joe Rogan Experience	Don't Ever Change with John Roy	1431845511
84	The Joe Rogan Experience	The K Ohle with Kurt Braunohler	295727932
85	The Joe Rogan Experience	Steve Agee: Uhhh	5239420617
86	The Joe Rogan Experience	High and Mighty	75077628
87	The Joe Rogan Experience	Kumail Nanjiani's The X-Files Files	244379369
88	The Joe Rogan Experience	Getting Curious with Jonathan Van Ness	64768266
89	The Joe Rogan Experience	Hollywood Handbook	0
90	The Joe Rogan Experience	RuPaul: What's The Tee with Michelle Visage	255103049
91	The Joe Rogan Experience	Shane And Friends	152565939
92	The Joe Rogan Experience	Not Too Deep with Grace Helbig	453792671
93	The Joe Rogan Experience	Think Again – a Big Think Podcast	1851165866
94	The Joe Rogan Experience	Rationally Speaking	91969196
95	The Joe Rogan Experience	Skepticality: The Official Podcast of Skeptic Magazine	256358556
96	The Joe Rogan Experience	Friendly Atheist Podcast	72960594
97	The Joe Rogan Experience	Snoop Dogg's GGN Podcast	402729205
98	The Joe Rogan Experience	Katie Couric	182555110
99	The Joe Rogan Experience	Entrepreneurial Thought Leaders	27210939
100	The Joe Rogan Experience	The Ezra Klein Show	310192285
101	The Joe Rogan Experience	The Talk Show With John Gruber	0
102	The Joe Rogan Experience	Here We Are	616724589
103	The Joe Rogan Experience	Double Date Podcast	359407599
104	The Joe Rogan Experience	It's All Happening	8922263366
105	The Joe Rogan Experience	The Astral Hustle with Cory Allen	3919023892
106	The Joe Rogan Experience	Mindrolling with Raghu Markus	16914101644
107	The Joe Rogan Experience	Chris Grosso The Indie Spiritualist	30861792
108	The Joe Rogan Experience	London Real	9777943528
109	The Joe Rogan Experience	Onnit Podcast	4080723196
110	The Joe Rogan Experience	Brody Stevens Festival Of Sports	216576786
111	The Joe Rogan Experience	The Steven Brody Stevens Festival Of Friendship	8535853744
112	The Joe Rogan Experience	Wait Wait... Don't Tell Me!	0
113	The Joe Rogan Experience	Superego	141424822
114	The Joe Rogan Experience	Savage Lovecast	61951873
115	The Joe Rogan Experience	Tom Rhodes Radio Smart Camp	12463423051
116	The Joe Rogan Experience	The Full Charge Power Hour featuring Matt Fulchiron	2516807356
