Pat Dean,44301
Sara June,36829
Kath Barbadoro,34484
Micheal Foulk,30864
Jake Flores,28760
Ralphie Hardesty,28177
Daniel Webb,23590
Aaron Brooks,23212
Katie Pengra,23208
Avery Moore,22275
Brian Gaar,21479
Carina Magyar,21281
Joe Hafkey,17159
Norman Wilkerson,16154
Bob Khosravi,14088
Daniel Rugg Webb,13898
Lisa Friedrich,13080
David Gborie,5828
Josh Androsky,5828
Jay Whitecotton,5086
Michael Foulk,4381
Bryan Gutmann,4353
Mike Macrae,4353
Enzo Priestnitz,3683
Nick Saverino,3683
Lisa Freidrich,3426
Lashoonda Lester,3181
Maggie Maye,3181
Martha Kelly,3082
Ralph Hardesty,3082
Matt Bearden,2665
Colt Cabana,949
