Kate Quigley,13263
Adam Ray,12852
Eleanor Kerrigan,10888
Ahmed Ahmed,8483
Jeremy Hotz,7853
Jenny Johnson,7660
Steve Simeone,7594
Matt Rife,7585
Tom Dreesen,7361
Maronzio Vance,7224
Jessimae Peluso,7051
Kirk Fox,6723
Rick Glassman,6447
Maz Jobrani,6166
Skyler Stone,4357
Jade Catta-Preta,4248
Michael Patrick King,4246
Amanda Seales,4237
Jim Florentine,4117
Ben Gleib,4100
Bobby Lee,4093
Kelsey Cook,4090
Anthony Jeselnik,4027
Beth Stelling,4020
John Henson,4006
Bret Ernst,3998
Fahim Anwar,3973
Eddie Ifft,3964
Josh Wolf,3962
Brian Scolaro,3945
Helen Hong,3907
Bill Burr,3893
Billy Gardell,3892
Johnny Sanchez,3865
Steve Byrne,3850
Thom Tran,3842
Wayne Federman,3835
Todd Shapiro,3806
Harry Basil,3806
Andrew Santino,3754
Bert Kreischer,3753
Owen Benjamin,3748
Ari Shaffir,3745
Steve Skrovan,3742
Brody Stevens,3727
Adam Hunter,3711
Theo Von,3709
Godfrey,3702
Amir K,3692
Chaunté Wayans,3670
Nick DiPaolo,3659
Dov Davidoff,3651
Brad Williams,3647
Jamie Kennedy,3617
Bill Dawes,3591
Mo Amer,3545
Ramy Youssef,3540
Chris Redd,3535
Brian Redban,3531
Tony Hinchcliffe,3461
Lowell Sanders,3451
Ben Bailey,3438
Guy Torry,3426
Tiffany Haddish,3393
Caleb Synan,3357
Steve Hofstetter,3355
Ruben Paul,3342
John Campanelli,3330
Craig Robinson,3322
Mike Marino,3262
Brendan Schaub,3206
Ismo,3177
Jordan Rock,3139
Harland Williams,3138
Michael Kosta,3041
Darren Carter,2992
Chris D'Elia,2949
"Esther ""Little Esther"" Povitsky",2932
Alonzo Bodden,2875
Felipe Esparza,2701
Ismo Leikola,2619
Margaret Cho,2610
Pauly Shore,2596
