Mike Munger,64854
Arnold Kling,51324
Don Boudreaux,46897
Michael Munger,39744
Tyler Cowen,36398
Richard Epstein,25459
Eric Hanushek,23642
Robert Frank,22910
Bryan Caplan,21773
Nassim Taleb,20615
Scott Sumner,20446
John Taylor,17554
Dan Klein,17133
Bruce Bueno de Mesquita,16222
Kevin Kelly,16134
David Brady,15985
Robin Hanson,15279
John Cochrane,15143
Gary Taubes,14384
Pete Boettke,13929
Nassim Nicholas Taleb,13604
George Selgin,13224
Paul Romer,12222
Tim Harford,11995
Cass Sunstein,11814
Matt Ridley,11791
Daron Acemoglu,11673
Peter Boettke,11523
Vernon Smith,11514
William Bernstein,11310
Garett Jones,11249
Charles Calomiris,10544
Bruce Yandle,9199
Megan McArdle,9154
Adam Davidson,8765
Allan Meltzer,8635
Gary Belsky,8535
Edmund Phelps,8523
Morten Jerven,8485
Chris Blattman,8481
Lawrence H. White,8455
David Weinberger,8296
Alex Tabarrok,8222
Chris Anderson,8159
James Otteson,8150
Brink Lindsey,8100
Cathy O'Neil,8100
David Autor,8084
David Owen,8076
Barry Weingast,8069
Thomas Hazlett,7934
Paul Collier,7893
Lee Ohanian,7880
Eric Topol,7837
Edward Glaeser,7792
Doug Lemov,7733
Rachel Laudan,7725
Clifford Winston,7684
Lant Pritchett,7682
Luigi Zingales,7660
Casey Mulligan,7634
William Easterly,7617
George Will,7615
Steve Fazzari,7598
Tim O'Reilly,7565
Ed Leamer,7552
Angus Deaton,7527
Jim Manzi,7435
Brian Nosek,7426
Diane Coyle,7380
John Nye,7345
Anat Admati,7311
On April 10,7118
Karol Boudreaux,7105
Brendan O'Donohoe,5391
Robert Laughlin,5126
Thomas Rustici,5106
Robert Service,4971
William Black,4947
John Papola,4856
Christopher Coyne,4784
Philip Auerswald,4780
Michele Boldrin,4774
Daniel Pink,4744
Jordan Peterson,4702
Jason Barr,4657
Larry White,4607
Roy Baumeister,4595
David Skarbek,4584
Michael Lewis,4556
Richard McKenzie,4554
Elizabeth Pape,4553
Michael Clemens,4549
Matt Warner,4527
Simeon Djankov,4527
Bruce Caldwell,4521
David Schmidtz,4518
Michael Belongia,4508
Dick Carpenter,4498
Munger,4468
Leo Katz,4453
Barry Ritholtz,4420
Gary Greenberg,4392
Mitch Weiss,4362
Marian Goodell,4355
