Bob Sutton,18615
Steve Blank,10502
Tom Byers,8227
Randy Komisar,7509
Reid Hoffman,7467
William Perry,7304
John Hennessy,7273
Jeff Hawkins,6840
Astro  Teller,6683
Kathleen Eisenhardt,6583
Olivia Fox Cabane,6018
Carly Fiorina,4300
Tony Perkins,4251
Noam Wasserman,3972
Phil  Libin,3905
Mark Pincus,3887
Nick Earl,3866
Bill Drayton,3836
Sue Siegel,3814
Guy Kawasaki,3777
Meg Whitman,3771
Sukhinder Singh Cassidy,3749
G. Steven Burrill,3741
Adam Lowry,3741
Lyndon Rive,3732
Hemant Shah,3717
Marc Andreessen,3703
Ron Bloom,3703
Tracy Young,3703
William McDonough,3703
Leah Busque,3702
Scott Harrison,3688
Jensen Huang,3687
Craig Barrett,3685
William Marshall,3683
Ankit Gupta,3679
Akshay Kothari,3679
Brad Feld,3678
Jocelyn Goldfein,3674
Monica Lam,3673
David Friedberg,3672
Dan Rosensweig,3672
Scott  Cook,3671
Elon Musk,3667
Brett Crosby,3665
Linda Rottenberg,3662
Greg Papadopoulos,3659
Tom Conrad,3657
Chris Anderson,3651
Geoff Yang,3645
Daniel Ek,3643
Wendy Kopp,3639
Dana Mead,3636
Josh Makower,3634
Richard Scheller,3629
William Hsu,3628
Aneesh Chopra,3627
Greg Ballard,3627
Geoff Donaker,3625
Heidi Roizen,3623
Cameron Strang,3622
John Lilly,3620
Tim O'Reilly,3619
John Adler,3617
Roelof Botha,3614
Dave Evans,3614
Jack Dorsey,3614
Ron Conway,3613
Ed Catmull,3605
Tom Siebel,3605
Brent Constantz,3603
Steve Garrity,3599
Clara Shih,3599
Steven McCormick,3596
Kevin Weil,3590
Jessica Mah,3583
Kate Mitchell,3581
Susan Koger,3581
Sal Khan,3580
David Heinemeier Hansson,3579
Stan Christensen,3578
Aaron Levie,3577
Toni Townes-Whitley,3576
Steve Teig,3573
Mike Olson,3573
Patrick Brown,3570
Shah Selbe,3566
Jennifer Aaker,3566
Cyriac Roeding,3566
Jeanne Gang,3562
Etosha Cave,3561
Elisabeth Paté-Cornell,3559
Jackie Speier,3559
Derek Belch,3557
Julian Mann,3555
Steve Jurvetson,3555
John Fenwick,3555
Dan Berkenstock,3555
Ching-Yu Hu,3555
Marten Mickos,3551
Wences Casares,3550
John Melo,3547
Shirzad Chamine,3544
David Rothkopf,3538
Joe McCracken,3532
Tom Kelley,3532
Gunnar Carlsson,3529
Gurjeet Singh,3529
Drew Houston,3528
Joseph DeSimone,3528
Kim Polese,3526
