Owen Benjamin,13386
Jordan Peterson,12080
Lauren Southern,11266
Michael Malice,10191
Mike Cernovich,9943
Duke Pesta,9090
Alex Jones,8316
Tom Woods,7299
Thaddeus Russell,6875
Steven Crowder,6501
Adam Kokesh,6096
Cassie Jaye,5591
Richard Haier,5355
Adam Perkins,5068
Tommy Robinson,5021
Ricardo Duchesne,4701
Styxhexenhammer666,4656
Dave Smith,4282
Gavin McInnes,4106
Candace Owens,3993
Kaya Jones,3961
Michelle Malkin,3926
Dan Roodt,3903
Jesse Lee Peterson,3821
Steve Hofmeyr,3820
Peter Brimelow,3781
Gary Wilson,3742
Michael Rectenwald,3723
Anthony Cumia,3722
Ezra Levant,3598
Scott Horton,3587
Paul Joseph Watson,3515
Scott Adams,3487
Sargon Of Akkad,3443
Raheem Kassam,3434
Lionel,3364
Bill Whittle,3332
Peter Schiff,3274
Tom Golden,3143
Simon Roche,3064
Katie Hopkins,3004
Cam Adair,2887
James Damore,2731
Olavo de Carvalho,2702
Rep. Steve King,2690
Mike Maloney,2641
Roger Stone,2505
Rev. C.L. Bryant,2294
Elliott Hulse,2034
Milo Yiannopoulos,1912
Everett Piper,1629
Erik Prince,1479
Faith Goldy,1440
R.C. Maxwell,953
