Michael Fassbender,10741
Anna Kendrick,9305
Allison Williams,8586
Dave Franco,7754
Logan Lerman,7633
Woody Harrelson,7356
Zoey Deutch,7305
Kate Mara,7298
Bryce Dallas Howard,7171
Miles Teller,7161
Tom Hiddleston,7064
Jeff Goldblum,6895
Kristen Stewart,6738
Elizabeth Olsen,6725
Jai Courtney,6550
Jack Black,6394
Nicholas Hoult,6251
Paul Scheer,6209
Edgar Ramirez,5812
Simon Pegg,5680
David Oyelowo,5484
Taran Killam,5484
Dan Stevens,5414
Kenneth Branagh,5357
Matt Reeves,5289
Guillermo del Toro,5225
Naomie Harris,5214
Paul Verhoeven,5214
Eric Bana,5061
Keegan-Michael Key,5061
Jordan Peele,5061
Danny McBride; Plus,5037
Katherine Waterston,5037
Taylor Kitsch,4988
Doug Liman,4921
Alexandra Daddario,4921
Domhnall Gleeson,4915
Hasan Minhaj,4882
Zoe Lister-Jones,4882
Adam Pally,4882
War of the Planet of the Apes,4785
Bruce Campbell,4785
And Ruth Negga,4736
Luc Besson,4736
Nick Kroll,4736
John Mulaney,4736
Colin Trevorrow / Sam Richardson,4662
Damien Chazelle,4636
Janelle Monae,4636
Jake Johnson,4518
Tavi Gevinson,4482
Anne Hathaway,4474
Bella Thorne,4474
Sebastian Stan,4431
Ben Schwartz,4303
Warren Beatty,4246
Rebecca Ferguson,4129
Hugh Jackman,4122
Daisy Ridley,4115
Nick Nolte,4115
Nicholas Meyer,4028
Emma Stone,3974
Lily James,3974
Al Pacino,3911
Megan Mullally,3863
Paul Bettany,3843
Vin Diesel,3801
Joe Manganiello,3779
Winona Ryder,3772
Sam Rockwell,3695
Melissa McCarthy,3695
Ben Falcone,3695
Neil Gaiman,3671
Stephen Lang,3658
Colin O’Donoghue,3645
Scarlett Johansson,3645
Michael Mann,3636
Brie Larson,3608
Jane Fonda,3579
Lily Tomlin,3579
David Harbour,3557
Stephen Dorff,3542
Will Arnett,3540
Mahershala Ali,3538
Neil Patrick Harris,3536
Francis Lawrence,3513
Mark Strong,3488
Nikolaj Coster-Waldau,3477
Garrett Hedlund,3467
Danny Boyle,3444
Tim Roth,3443
Rob Corddry,3419
Jon M. Chu,3416
Mary Elizabeth Winstead,3408
Jennifer Morrison,3402
Holly Hunter,3399
Jay Baruchel,3384
Bill Murray,3377
Mitch Glazer,3377
Ben McKenzie,3367
Jon Bernthal,3365
Willem Dafoe,3362
Justin Theroux,3359
Paul Rudd,3359
Quentin Tarantino,3358
Sam Raimi,3351
Lily Collins,3341
Guy Ritchie,3335
Aaron Taylor-Johnson,3321
Gillian Jacobs,3312
Adam Scott,3303
Alison Brie,3284
Timothee Chalamet,3270
Karen Gillan,3268
Joel Edgerton,3253
Shane Black,3238
Nicolas Winding Refn,3233
Rebecca Hall,3228
Melanie Lynskey,3227
Elijah Wood,3227
Taron Egerton,3213
John Krasinski,3210
Denis Villeneuve,3203
Rob Huebel,3190
Kurt Russell,3182
Alicia Vikander,3160
Jason Schwartzman,3153
Jennifer Jason Leigh,3153
Ron Howard,3148
Paul Dano,3133
Daniel Radcliffe,3130
Will Forte,3118
Patrick Stewart,3112
Christian Bale,3112
Simon Kinberg,3086
Chiwetel Ejiofor,3062
Bill Nighy,3056
Rachel Brosnahan,3056
Michael Shannon,3052
George Miller,3048
Tim Burton,3044
Samuel L. Jackson,3044
Emile Hirsch,3022
Lake Bell,3016
Jesse Eisenberg,3011
Andrew Garfield,3004
Ethan Hawke,2995
Alexander Skarsgard,2956
Fred Armisen,2952
Taika Waititi,2942
Kyle MacLachlan,2932
Richard Jenkins,2913
Ben Mendelsohn,2901
Edgar Wright,2888
Ezra Miller,2884
Armie Hammer,2881
Ralph Fiennes,2865
Natalie Portman,2863
Sean Penn,2842
Josh Hutcherson,2819
John Boyega,2794
Kevin Kline,2782
Chloe Grace Moretz,2779
Michael Stuhlbarg,2764
Heather Graham,2758
Terry Gilliam,2755
Kevin Bacon,2752
Dane DeHaan,2751
Kumail Nanjiani,2742
Don Cheadle,2737
Matt Smith,2717
Lisa Kudrow,2717
Claire Foy,2717
The Lonely Island (Andy Samberg,2682
Akiva Schaffer,2682
Jorma Taccone),2682
Sarah Silverman,2676
Caitriona Balfe,2664
Colin Firth,2660
Sam Claflin,2659
Alan Rickman,2598
Gillian Anderson,2594
Justin Long,2588
Hugh Grant,2577
Josh Duhamel,2576
Chadwick Boseman,2573
Michael Cera,2565
Shia LaBeouf,2559
Jerrod Carmichael,2548
Dylan O'Brien,2536
Jude Law,2521
Adrianne Palicki,2516
Carey Mulligan,2500
Fran Kranz,2492
John Green,2490
Natalie Dormer,2471
Topher Grace,2466
Lee Pace,2423
M. Night Shyamalan,2405
Clark Gregg,2392
Jeremy Renner,2379
Chris Miller,2376
Phil Lord,2376
Sam Heughan,2374
Eddie Redmayne,2370
Christopher Nolan,2347
Evan Peters,2320
Elisha Cuthbert,2305
Michael Keaton,2298
Matt Bomer,2296
Tony Hale,2208
Chris Messina,2198
Andy Serkis,2169
John Lithgow,2163
Jon Stewart,2153
Marc Webb,2152
Woody Allen,2121
Kathryn Hahn,2088
Darren Aronofsky,2085
Guy Pearce,2032
Rob Riggle,2031
Benj Pasek,1974
Justin Paul,1974
Richard Linklater,1939
Robert Rodriguez,1912
Diane Kruger,1813
Joe Russo,1692
Anthony Russo,1692
