Nina Rubin,15702
Michael Garfield,9880
Jeremy Genovese,9465
Nicole Prause,9294
Peter McGraw,9288
Adam Bradley,9090
Kristen Syme,8410
Gad Saad,8313
Ed Hagen,7978
Bill Griesar,7758
Philip Fernbach,7712
David Buss,7640
Live from Boulder,6819
Selin Malkoc,6571
Annie Mithoefer,6526
Michael,6526
Shane Bemiller,6508
Nipun Chopra,6508
Kathleen Vohs,5862
Colin DeYoung,5862
Ramin Nazer,5678
Jennifer Bosson,5612
Joe Vandello,5612
Katherine MacLean,5592
Rick Doblin,5553
James A. Lindsay,5549
Kate Nooner,5355
Len Lecci,5355
Julian Keith,5355
Clancy Smith,5251
Patrick Morris,5251
Michal Kosinski,5229
Justin O. Schmidt,5121
Emanuel Sferios,5077
John L. Graham,5035
Klaree Boose,4980
Ian Oeschger,4956
Wendy Donlin,4956
Michael Angilletta,4915
Ori Amir,4906
Eric Osborne,4885
Martie G. Haselton,4868
Andy Slifkin,4867
Traci Mann,4796
Hillary Anger Elfenbein,4788
Cole Marta,4770
Colin Holbrook,4753
William Garriott,4749
Sarah Hill,4716
Bryan Seely,4709
Michelle Scalise Sugiyama,4694
Erin Percival,4692
Aaron Clauset,4663
Forrest Shaw,4642
Sara Gael,4620
Dr Cole Marta,4620
Brittany Alperin,4608
Peter Boghossian,4605
Kristin Diehl,4598
Nicholas Epley,4561
Shuhan He,4550
Keith Campbell,4526
Josh Miller,4526
Alex Huth,4500
Chris Thompson,4488
Zach Garfield,4476
Scott Cloutier,4467
Brad Burge,4458
Daniel Levitin,4426
Aaron Baisdell,4416
Harold Pollack,4387
Greg Bryant,4387
Athena Aktipis,4346
Jeff Larsen,4335
Gary Lupyan,4332
Jennifer Hahn-Holbrook,4327
Robert Sapolsky,4317
Charles Jones,4311
Khandis Blake,4309
Rob Tanner,4288
Bert Jacobs,4277
Kim Bassos-Hull,4245
Evan Palmer,4208
Paul Phelps,4199
Amy Emerson,4166
Emily Gordon,4165
Adam Waytz,4163
Jeff Sherman,4130
David Bronner,4122
Anthony Lopez,4113
Gary Cobb,4099
Deborah A. Boehm,4077
Chris Kilham,4044
Todd Weekes-Shackelford,4044
Viviana Weekes-Shackelford,4044
Andy Puddicombe,4042
Bas Rokers,4015
Bob Krebs,3984
Ed Blackburn,3979
Robbie Wilson,3972
Bart de Langhe,3963
Scott Burns,3960
Todd K. Shackelford,3952
James Pennebaker,3945
Steve Neuberg,3930
Foster Olive,3912
Matthew Lieberman,3908
Howard Tsai,3876
Rael Cahn,3874
Bob Provine,3863
Abigail Bigham,3860
Jason De León,3860
Morgan Ward,3856
June Gruber,3855
C. Shawn Green,3832
Geoffrey Miller,3812
Rob Brooks,3809
Jennifer Beer,3804
Cassie Mogilner Holmes,3789
Kateri McRae,3779
Rebecca Ratner,3767
Nirav Shah,3766
Mark A. Schneegurt,3742
Jennifer Fewell,3733
Mark Bedau,3719
Erin Harden,3703
Christine Robitschek,3686
Martie Haselton,3658
Jana Gallus,3649
Jeff Leake,3623
Jeff Leak,3623
Bill Greisar,3623
Jono Zalay,3621
Cindy Meston,3611
James Schwartz,3561
Joe Goodman,3550
Laura Pasquini,3543
Thomas Denson,3541
S. Christian Wheeler,3518
Cat Packer,3477
Jennifer Blanchard,3407
April Bleske-Rechek,3368
Doug Kenrick,3310
Jim Hefner,3283
Adam Barsky,3248
James Beck,3218
Marlene Zuk,3165
Dan Ariely,3148
Emily Baxter,3133
Ruth Frazier,3098
Paolo Forni,2970
Narayanan Janakiraman,2958
Lee Ann Keeler,2951
Gene Baur,2872
John Harkness,2853
Allison Wilens,2792
Sonja Lyubomirsky,2617
Hal Hershfield,2598
Jim Elser,2308
