Nolan Bushnell,6123
Joe Gebbia,5226
Andy Spade,5012
Kate Spade,5012
Brian Scudamore,5006
Alberto Perlman,4937
Beto Perez,4937
Suroosh Alvi,4667
Doug Bernstein,4638
Melissa Bernstein,4638
Jim Koch,4369
Herb Kelleher,4364
Cathy Hughes,4276
Neil Blumenthal,3899
Dave Gilboa,3899
Mike Krieger,3807
Kevin Systrom,3807
Gary Erickson,3692
Sara Blakely,3683
Gary Hirshberg,3675
Susan Tynan,3550
Ross Bagdasarian Jr.,3518
Janice Karman,3518
Jerry Greenfield,3515
Ben Cohen,3515
Jenn Hyman,3403
David Liu,3392
Carley Roney,3392
Yvon Chouinard,3333
Lara Merriken,3326
Blake Mycoskie,3284
Marcia Kilgore,3265
Alexis Ohanian,3220
Steve Huffman,3220
Katrina Lake,3193
Steve Ells,3163
Barbara Corcoran,3131
Michael Dell,3031
Tariq Farid,2986
Jonah Peretti,2973
Howard Schultz,2958
Jann Wenner,2932
Eileen Fisher,2931
Miguel McKelvey,2890
Jeni Britton Bauer,2884
Sadie Lincoln,2881
John Mackey,2828
Jake Carpenter,2809
Troy Carter,2753
Wendy Kopp,2718
Randy Hetrick,2689
James Dyson,2684
Kendra Scott,2663
Lisa Price,2632
Jimmy Wales,2628
Raegan Moya-Jones,2600
Haim Saban,2591
Reid Hoffman,2591
Perry Chen,2583
Whitney Wolfe,2576
Mei Xu,2563
Robert Johnson,2528
Alexa von Tobel,2517
Maureen,2489
Tony Wheeler,2489
John Zimmer,2460
Apoorva Mehta,2433
Rod Canion,2417
Jane Wurwand,2408
Tom Chappell,2317
Jerry Murrell,2200
Manoj Bhargava,2152
Mark Cuban,2110
Richard Branson,2094
Steve Case,2061
Alli Webb,2042
L.A. Reid,1997
Arthur Blank,1991
Seth Goldman,1904
Gordon Segal,1865
Angie Hicks,1843
Tony Hsieh,1803
José Andrés,1733
Ethan Brown,1574
How I Built This,179
