Ava DuVernay,5379
David Axelrod,5227
Julia Louis-Dreyfus,4549
Cory Booker,4529
Tommy Vietor,4406
Jon Favreau,4406
Jon Lovett,4406
Alec Baldwin,4235
Kara Swisher,4185
Amy Schumer,4135
Diane von Furstenberg,4083
Christie Todd Whitman,3990
Laverne Cox,3979
Tony Robbins,3941
Dan Savage,3780
Ina Garten,3724
Joe Scarborough,3711
Mika Brzezinksi,3711
Cecile Richards,3630
Bill Browder,3604
Jonathan Weisman,3522
Sheryl Sandberg,3508
Tina Brown,3408
Bob Woodward,3408
Danny Meyer,3387
Maxine Waters,3307
Bill Weld,3304
Pete Souza,3294
Neil deGrasse Tyson,3285
Maggie Haberman,3191
Larry Wilmore,3142
Stan Greenberg,3116
Al Franken,3111
Valerie Jarrett,3087
Jean Twenge,3085
Nate Silver,3068
Doris Kearns Goodwin,2966
Kerry Sulkowicz,2956
Sheila Nevins,2944
Frank Luntz,2914
Matt Walsh,2878
Mike Murphy,2807
David Fahrenthold,2767
Bob Costas,2756
Samantha Bee,2594
Graham Allison,2557
Mitch Landrieu,2503
Thomas L. Friedman,2476
Marty Baron,2394
Kareem Abdul-Jabbar,2244
Rabbi Steve Leder,2084
Dan Taberski,2036
Stitcher Presents,145
