Gavin McInnes,79555
Ben Shapiro,68065
Andrew Klavan,55465
Dave Rubin,46899
Crowder,35033
Paul Joseph Watson,33538
Mrs,32613
Lauren Southern,31343
Dean Cain,30759
Karen Straughan,28572
Sargon of Akkad,25682
Jordan Peterson,23678
Dana Loesch,23422
Clint Howard,22464
Larry Elder,22377
Tim Kennedy,21419
IraqVeteran8888,18074
Blaire White,17801
Austin Petersen,17559
Gerald Morgan,17481
Christopher Titus,16875
Mark Rippetoe,16691
Sally Kohn,16377
Gavin McInness,15748
Ann McElhinney,14433
Brad Thor,14043
Jim Norton,13432
Roaming Millennial,12840
Nick DiPaolo,12789
Tomi Lahren,12757
Matt Iseman,12603
Stefan Molyneux,12455
Mark Levin,12424
Cassie Jaye,12146
Tommy Robinson,8969
Owen Benjamin,8933
Dennis Prager,8906
Kathryn,8892
Sgt,8892
Crapping on Islam,8892
a Chinese Lawyer,8843
Mike Ward,8807
Kasich Sucks,8807
Curt Schilling,8785
Christina Hoff Sommers,8672
Nick DiPaolo Trigger,8672
Gad Saad,8626
Ed Morrissey,8594
SooperMexican,8594
Julie Borowski,8594
Colion Noir,8591
Anni Cyrus,8589
Milo Yiannopoulos,8540
Andrew Bogut,8492
Michael Ian Black,8452
Conservative Transgender,8415
Trump's Muslim Banning Czar,8403
Dinesh D’Souza,8389
Joey Salads,8389
AlfonZo Rachel,8359
Tommy Sotomayor,8347
Anthony Cumia,8335
Colin Kaepernick,8294
Walt Heyer,8275
Alex Epstein,8270
Ted Cruz,8266
Hodge Twins,8263
Queen,8263
Lierre Keith,8263
Milo,8261
Skagg3,8230
Zack Ford,8196
David Limbaugh,8196
Michelle Malkin,8193
Brandon Morse,8167
Brian Lilley,8167
UFC's Chris Leben,8116
Gun-Boy Gets Suspended,8094
Chad Felix Greene,8063
Alex Jones,8042
Ezra Levant,8036
Nigel Farage,7965
Carly Fiorina Uncut,7946
Fundip Quits.,7946
Hatchet Control,7946
Pops Crowder Gets Cancer.,7945
Crowder Hates Star Wars,7932
Lila Rose,7923
Butts,7918
Monica Crowley,7918
Alfonzo Rachel,7916
Oathkeepers,7893
Rener Gracie,7893
DL Hughley Debates Race,7881
Abby Johnson,7881
John Phillips,7881
Surprise,7879
Stalker Jim,7879
Gay Jared,7824
Charleston Shooting,7696
Chael Sonnen,7696
RazorFist,7534
Woman Leaves Islam Because of,7476
Nick Searcy,7342
Heated Transgender vs Lesbian Debate,7249
'Stalker Jim Returns',7026
Juanita Broaddrick,6769
Mark Duplass,6577
Georges St-Pierre,6577
Papa Crowder,6367
Joy Villa,6012
Joe Rogan,6012
RazörFist,5614
Bas Rutten,5610
Peterson,5568
Jordan B,5568
Rick Santorum,5261
Kyle Kashuv,4975
Lindsey Shepherd,4967
Gary Sinise,4903
Mike Huckabee,4814
Gov,4814
Ben Shapiro Dishes on Cenk Uygur,4589
With Dean Cain,4547
Sheriff Clarke,4430
Trump Inauguration,4411
James O’Keefe,4325
Andrew Torba,4212
Tim Schmidt,4197
Dave Cullen,3709
Bernie Sanders,1842
Ben Shapiro Fire,1021
Crippled Crowder,1021
