Alysia Reiner,4702
Michaela Watkins,3480
Lauren Molina,3480
Amirah Vann,3480
Brian Tyree Henry,3203
Tituss Burgess,2750
Emmy Rossum,2023
Constance Wu,1836
Cherry Jones,1695
Tony Hale,1639
David Oyelowo,1591
Mary-Chapin Carpenter,1558
Kristin Chenoweth,1556
Jayne Atkinson,1541
Chris Messina,1535
Rebecca Hall,1523
Dash Mihok,1499
Justina Machado,1487
Kate Winslet,1486
Sterling K. Brown,1483
Mark Duplass,1482
Molly Ringwald,1477
Jake Gyllenhaal,1464
Cynthia Addai-Robinson,1461
Richard Jenkins,1458
Mykelti Williamson,1453
Andrea Martin,1453
Margarita Levieva,1452
Jason Alexander,1448
Ry Russo-Young,1446
Uma Thurman,1442
Gillian Jacobs,1441
Pamela Adlon,1438
Issa Rae,1416
John Cho,1412
Laura Dern,1407
Kyra Sedgwick,1406
Greta Gerwig,1389
Ann Dowd,1385
Taylor Schilling,1379
Darby Stanchfield,1378
Mireille Enos,1374
Catherine Keener,1368
Minnie Driver,1366
Gaby Hoffmann,1364
Melanie Lynskey,1348
Caitriona Balfe,1348
Sasheer Zamata,1346
Megan Hilty,1345
Jennifer Beals,1344
Andrew Rannells,1342
Harry Lennix,1341
Cynthia Nixon,1339
Haydn Gwynne,1337
Willem Dafoe,1336
Cleopatra Coleman,1332
Cecily Strong,1328
Krysten Ritter,1326
Danielle Brooks,1313
Betty Gilpin,1305
Zoe Lister-Jones,1299
Malin Akerman,1291
Alex Karpovsky,1289
Ali Fazal,1289
Kerry Bishé,1286
Angela Bassett,1274
Anna Chlumsky,1274
June Diane Raphael,1269
Sela Ward,1268
Dan Savage,1264
Paul Rust,1263
Gideon Glick,1246
Lance Reddick,1242
Rosie Perez,1241
Kirsten Vangsness,1237
Ruth Negga,1234
Kimberly Hébert Gregory,1230
Nico Tortorella,1220
Griffin Dunne,1217
Kathryn Hahn,1212
Emily Gordon,1204
Kumail Nanjiani,1204
Kristin Scott Thomas,1191
Peter Gallagher,1171
Lois Smith,1168
Julia Stiles,1161
Bobby Cannavale,1155
Maria Bello,1066
Paul Sun-Hyung Lee,1012
Debra Winger,852
