Eric Schwitzgebel,10051
Sean Carroll,8833
Bryan Caplan,6685
Scott Aaronson,6350
Rebecca Newberger Goldstein,6302
Tom Griffiths,6159
Zach Weinersmith,6045
Maria Konnikova,5893
Graham Priest,5588
David Roodman,5451
Neil deGrasse Tyson,5192
Brendan Nyhan,4208
Tania Lombrozo,4113
Live at NECSS -- Jacob Appel,4026
Stephan Guyenet,4009
Gregory Clark,3977
Eric Jonas,3877
Jason Weeden,3736
James Ladyman,3707
Maarten Boudry,3624
Uri Simonsohn,3598
Gregg Caruso,3578
Greta Christina,3564
Seth Stephens-Davidowitz,3561
Timur Kuran,3548
Chris Blattman,3458
Dan Sperber,3375
Robert Frank,3372
Phil Tetlock,3344
David McRaney,3341
Colin Allen,3338
Patricia Churchland,3313
Victoria Pitts-Taylor,3306
Kenny Easwaran,3271
William MacAskill,3256
Dan Fincke,3221
Jerome Wakefield,3216
Hans Noel,3207
Doug Hubbard,3188
Simine Vazire,3180
Andrew Gelman,3161
L. A. Paul,3156
Sally Satel,3146
Scott Lilienfeld,3146
Paul Bloom,3130
Spencer Greenberg,3127
Jesse Singal,3107
Dr. Herculano-Houzel,3100
Jason Brennan,3092
Max Tegmark,3068
Benjamin Todd,3059
Chris Mooney,3050
Samuel Arbesman,3048
Crowdsourcing,3044
Robert Wright,3033
Celebrities,3030
James Evans,3028
Will Wilkinson,3027
Tim Urban,3016
Robert Zaretsky,3010
Jesse Richardson,3004
Elise Crull,2981
Owen Cotton-Barratt,2976
Brian Christian,2968
Cordelia Fine,2967
Donald Prothero,2958
Dani Rodrik,2924
Michael Webb,2918
James Randi,2898
Brian Nosek,2893
Edward Frenkel,2884
Carol Tavris,2882
Matthew Hutson,2876
Dr. Vinay Prasad,2870
Elizabeth Loftus,2853
Susan Gelman,2846
Dr. George Ainslie,2842
Assorted Comments,2840
Don Moore,2838
Timothy Alborn,2837
Steven Novella,2831
Peter Singer,2820
Eugenie C. Scott,2820
Joseph Heath,2809
Howard Schneider,2805
Aaron James,2798
Jesse Prinz,2789
Amanda Askell,2789
Daniel Lakens,2756
John Ioannidis,2755
Robert Kurzban,2748
David Kyle Johnson,2735
Joshua Knobe,2729
Dylan Matthews,2693
Ben Buchanan,2680
Timothy Lee,2661
Preston Bost,2622
Holden Karnofsky,2617
Mario Livio,2590
Jessica Flanigan,2566
Stephen Webb,2446
Eugenie Scott,2234
Peter Woit,1993
Jennifer Michael Hecht,1988
Nonsense,1873
Jim Baggott,1732
Massimo,1732
