Fran Lebowitz,22726
Michael Eric Dyson,20361
Rob Reiner,19639
Matt Welch,15743
Rick Wilson,15625
David Frum,15430
S.E. Cupp,15387
Ana Marie Cox,15329
Ian Bremmer,15082
Kristen Soltis Anderson,15031
Max Brooks,14905
Jon Meacham,14850
Heather McGhee,11964
Larry Wilmore,11951
Johann Hari,11750
Michael Moore,11731
Rebecca Traister,11716
Adam Gopnik,11594
Ralph Reed,11528
Ann Coulter,11501
Rick Santorum,11448
Malcolm Nance,11262
Andrew Sullivan,11209
Michael Steele,11190
Van Jones,11175
Barney Frank,11070
Salman Rushdie,10919
Chelsea Handler,10888
Ana Navarro,10695
Alex Wagner,8651
Eddie Huang,8506
Joanna Cole,8444
Liz Mair,8399
Jennifer Granholm,8285
Sen. Angus King,8258
Bob Costas,8206
Martin Short,8156
Lt. Gov. Gavin Newsom,8121
Charles Cooke,8069
Nick Hanauer,8058
Arianna Huffington,8045
Mark Cuban,8035
Steve Schmidt,8034
Asra Nomani,8024
John Avlon,8019
Christina Bellantoni,7997
Fareed Zakaria,7996
Kellyanne Conway,7993
Joseph Stiglitz,7976
Lawrence Wilkerson,7956
Richard Haass,7934
Richard Dawkins,7923
Paul Begala,7891
Rick Lazio,7887
Bernie Sanders,7886
Chris Matthews,7878
Donna Brazile,7859
Margaret Hoover,7859
Grover Norquist,7840
James Carville,7724
Nayyera Haq,7701
Eric Holder,7675
Andrew Ross Sorkin,7663
Neil deGrasse Tyson,7590
Katty Kay,7505
Philip Mudd,7474
Xiuhtezcatl Martinez,7463
Angela Rye,7436
Jack Kingston,7429
Louise Mensch,7427
Dan Savage,7407
Betsy Woodruff,7402
Joy Reid,7383
Al Franken,7339
Jeff Ross,7324
Jeffrey Lord,7323
Neera Tanden,7300
Bill McKibben,7296
Dr. Cornel West,7274
Jr.,7267
Bari Weiss,7256
April Ryan,7213
Sarah Silverman,7209
Trae Crowder,7159
David Axelrod,7123
Chris Hayes,7097
Jelani Cobb,7054
Tom Morello,7020
Erick Erickson,7018
Charlie Sykes,6892
Michael Weiss,6787
Roger Stone,6761
Sean Penn,6733
Erin Brockovich,6683
Mark Ruffalo,6638
General Michael Hayden,6638
D.L. Hughley,4646
Dan Senor,4646
former Rep. Jane Harman,4646
Tara Setmayer,4499
Robert F. Kennedy Jr.,4415
Zachary Quinto,4318
Fmr. Rep. Barney Frank,4318
Jay Famiglietti,4318
Rep. Darrell Issa,4298
Seth MacFarlane,4298
Jerrod Carmichael,4237
Reihan Salm,4237
Cory Booker,4237
Ayaan Hirsi Ali,4220
John Waters,4220
Charles Murray,4220
P.J. O'Rourke,4189
former Gov. Jennifer Granholm,4168
Doug Heye,4168
Sister Helen Prejean,4168
Mary Matalin,4161
Michael Mann,4161
Ross Douthat,4153
Dave Barry,4153
Mary Katharine Ham,4151
Kerry Washington,4145
Nina Turner,4144
Lewis Black,4144
Robert Costa,4143
Rep. Dana Rohrabacher,4143
Wendy Davis,4143
Jeremy Scahill,4135
Jack Hunter,4135
Bob Graham,4135
Milo Yiannopoulos,4129
Lesley Stahl,4124
Lawrence Wright,4124
Thomas Middleditch,4124
Bob Kerrey,4111
Bill Nye,4109
Aloe Blacc,4109
Elahe Izadi,4109
Catherine Rampell,4108
Ron Christie,4102
Ed Begley Jr.,4102
Alexis Goldstein,4102
Mike Pesca,4102
Mercedes Schlapp,4098
former Rep. Jack Kingston,4098
Gerald Posner,4098
Christine Quinn,4098
Alexandra Pelosi,4097
Wendell Pierce,4097
Linda Chavez,4097
Margaret Cho,4063
Richard Engel,4063
Josh Green,4063
Barbara Lee,4062
Gary Johnson,4062
Ari Melber,4062
Jim Gaffigan,4062
Rick Tyler,4056
Susan Sarandon,4056
Amy Goodman,4056
Mary Katherine Ham,4056
Richard Taite,4037
Nick Gillespie,4037
Bryan Cranston,4037
Richard Painter,4028
former NY Gov. George Pataki,4025
Jorge Ramos,4025
Will Cain,4017
former Gov. Lincoln Chafee,4017
Armando Perez a.k.a. Pitbull,4010
Anthony Scaramucci,4006
Monica Mehta,4004
Maria Konnikova,4004
Sam Stein,4004
Bill Kristol,4004
Jane Mayer,4004
Cornel West,3989
Annie Clark,3989
Sharyl Attkisson,3989
Nicolle Wallace,3989
Tom Rogan,3989
Andrea Pino,3989
Seth McFarlane,3984
Michael McCaul,3984
Alan Grayson,3984
Ernest Moniz,3967
Elizabeth Warren,3967
MP Chrystia Freeland,3960
Ben Domenech,3960
Ron Reagan,3959
John Cleese,3959
Dr. Jane Goodall,3959
Adam Schiff,3952
Sen. Claire McCaskill,3945
Rep. Donna Edwards,3945
Marc Maron,3945
Jason Kander,3941
Tomi Lahren,3941
Sam Harris,3941
Eva Longoria,3928
Tim Ryan,3928
Esperanza Spalding,3925
Sister Simone Campbell,3925
Michael Ware,3925
David Spade,3912
Rep. Maxine Waters,3912
Pete Dominick,3904
Rep. Luiz Gutierrez,3904
Billy Bush,3904
Beta O’Rourke,3904
Jane Fonda,3887
Department of Labor Secretary Thomas Perez,3887
Keith Olbermann,3887
Anthony Weiner,3877
Quentin Tarantino,3877
Jillian Melchior,3877
Russell Brand,3873
Olivia Nuzzi,3873
Julian Assange,3871
Lanhee Chen,3866
Maureen Dowd,3866
Michael Franti,3866
Kathy Griffen,3857
Andy Dean,3857
Thomas Perez,3857
John Legend,3855
Thomas Friedman,3855
Mark Leibovich,3848
Wayne Pacelle,3848
Thomas Frank,3848
Graeme Wood,3844
Col. Jack Jacobs,3844
Jim Parsons,3843
Ice Cube,3825
David Gregory,3825
Symone Sanders,3825
Amy Chua,3820
Cameron Kasky,3820
David Hogg,3820
Carl Bernstein,3817
Frank Bruni,3797
Emily Miller,3788
Sen. Bernie Sanders,3788
Josh Barro,3788
Ravi Patel,3788
John Feehery,3788
Katrina vanden Heuvel,3788
Katie Packer,3759
Barbara Boxer,3759
Thom Hartmann,3743
Gina McCarthy,3732
Mitch Landrieu,3732
Mona Charen,3732
Michael Wolff,3728
Saru Jayaraman,3728
Dylan Ratigan,3726
Eliot Spitzer,3726
Viggo Mortensen,3726
Frank Luntz,3726
Jay Leno,3726
Daryl Davis,3714
Janice Min,3714
Ro Khanna,3651
Zooey Deschanel,3651
Roger McNamee,3651
Michelle Goldberg,3651
Anna Deavere Smith,3590
Boris Epshteyn,3499
Rosa Brooks,3479
Christopher Caldwell,3463
Talib Kweli,3439
Caitlin Flanagan,3435
Jose Antonio Vargas,3434
Michael Hayden,3434
Garry Kasparov,3425
Michael Render,3420
Bradley Whitford,3413
Maajid Nawaz,3413
Bianna Golodryga,3413
Eddie Izzard,3401
Alex Marlow,3401
President Barack Obama,3401
Joshua Green,3394
Former Vice President Al Gore,3394
Killer Mike,3388
Michael Moynihan,3385
David Miliband,3384
Hanna Rosin,3384
Seth Moulton,3384
Arwa Damon,3384
Reverend Jesse Jackson,3375
Judd Apatow,3372
Richard A. Clarke,3370
Sheldon Whitehouse,3370
Jake Tapper,3370
Dan Abrams,3370
Ken Bone,3369
SE Cupp,3369
Harold Ford,3368
Billy Crystal,3368
Timothy Snyder,3365
Matt Schlapp,3365
Peter Hamby,3356
Fmr. Rep. David Jolly,3356
