Dr. Michael Shermer,17905
Benjamin Radford,13826
Phil Plait,7013
Swoopy,6331
psychologist,6080
Randy Olson,5927
Dr. Ginger Campbell to chat,5854
Keith E. Stanovich,5766
Dr. Robert A. Burton,5652
Faisal Saeed Al Mutar. Until,5537
Robert Blaskiewicz,5501
Mike McRae,5270
Tyler Keillor,5265
Dr. Steven Novella,5183
Molly,5073
her,5067
Derek Bartholomaus,5058
Rob Irving,5020
Bob Loomis,4924
Bruce Carlson,4817
Derek,4756
Dr. Peter Steidl,4725
Ryan Davidson,4721
James Daily,4721
mentalist Banachek,4525
Deborah Simpson,4503
Hal Bidlack,4496
Ben Radford,4477
Dr. Shermer,4439
Tim Farley,4402
biologist-turned-filmmaker Dr. Randy Olson,4395
Dr. Micheal Shermer,4319
our vastly different diet,4306
Kristine Duehl,4279
Chuck Miller,4270
David Person,4270
Natalia Reagan,4241
Jonathan Tweet,4229
Bob Nygaard,4217
Peter Buffett,4205
Jim,4193
Dr. Marc Bekoff,4181
geneticist Dr. George C. Cunningham,4170
Maria Maltseva,4163
Greg Gage,4131
Jon Ronson,4086
award-winning science journalist Gary Taubes,4060
Bo Bennett,3986
Raphael Lataster,3976
Dr. Darrel Ray to discuss his latest book,3968
Robert Tiernan,3964
Charles L. Mauro,3959
novel,3910
Henry Jay Przybylo,3889
Ian Harris,3869
Dr. Paul Offit,3779
a short announcement,3777
noted humanist Nikki Stern on her latest book,3749
Sheldon Helms,3749
Alexis,3737
an explorers eye,3721
a refreshing approach to both faith,3721
science,3721
Professor Oren Harman,3684
and Humanist Jennifer Hancock,3648
Bob Carroll to discuss his new e-book,3630
Yvette d'Entremont,3625
Dr. Dean Edell. Dr. Edell,3617
Hal Bidlack PhD,3601
Scott Dubois,3601
AJ Mass,3597
Britt Hermes,3597
Timothy,3596
Steve,3596
Victor Stenger discussing his latest book,3592
Andy Weir,3566
Dr. Ivan Oransky,3539
Tom Flynn,3524
Loren Collins,3515
Christopher Hadnagy,3379
Gary Kaskel,3346
Jeff Wise,3314
Scott Sigler,3297
Zack Wienersmith,3272
Joeseph Lazio,3249
Arthur I. Miller,3221
Michael A. Stackpole,3206
Jeremy Steele,3196
Caitlin Doughty,3177
Ann Druyan,3155
and professor Cathy N. Davidson,3154
William MacAskill. William is a former Fulbright scholar at Princeton University,3151
Stephen L. Gibson,3137
Penn Jillette discussing his journey into magic,3127
Dr. Donald R. Prothero,3112
SETI Astronomer,3082
Dan Hofstadter,3076
a look back at past shows,3054
Dr. Stephen L. Macknik,3040
Dr. Susana Martinez-Conde,3040
Julia Galef,3019
messages,2991
musician James Deem,2977
Thomas Goetz,2975
spiky-haired rabble rouser,2929
Jim Baggott,2923
Nicholas Eftimiades,2890
Adam Savage,2878
David DiSalvo,2877
noted 'Quirkologist' Richard Wiseman,2876
Professor Richard Wiseman,2816
Tini Howard,2750
Richard York,2658
Tiana Dietz,2644
Kate Holden,2644
James Randi,2615
Mitchell Moffit,2592
Daniel Loxton,2539
Dr. Greg Graffin,2520
Dr. Shane Snyder,2496
Daniel,2482
Donald to talk a bit,2482
Phil Edwards,2456
Hal,2440
Sara,2408
his sister Lois Schadewald,2396
Dr. John M. Harris,2323
author,2136
Dr. Donald Prothero,2085
Heather Dewey Hagborg,1991
Lewis Wolpert,1952
"""that guy""",1935
TAM Guests including Ray Hyman,1892
David Daigle,1882
reliable information,1736
Daniele Bolelli,1484
