Bill Nye,52049
Carolyn Porco,15359
Dr. FunkySpoon,12015
Elon Musk,7228
Edward Snowden,6652
Janna Levin,6518
Summer Ash,6496
Emily Rice,6496
Ray Kurzweil,6392
Richard Dawkins,6373
Seth Shostak,6337
Mike Massimino,6303
Natalie Starkey,6283
Andy Weir,5931
Hope Solo,5800
Alan Stern,4713
Al Gore,4027
Jay Leno,3756
Chris Hardwick,3725
Ash Carter,3655
Bill Clinton,3502
Jill Tarter,3486
William Shatner,3470
Sean Carroll,3445
Science,3439
Chris Hadfield,3431
Seth MacFarlane,3429
David Byrne,3414
Adam Savage,3410
Susan Sarandon,3408
Dr. Amy Mainzer,3398
Matt O’Dowd,3398
Charles Bolden,3384
Kelly Clarkson,3370
Robert Kirkman,3366
Josh Groban,3362
Brian Greene,3348
Lance Armstrong,3346
Kathy Sullivan,3340
Oliver Sacks,3338
Terry Crews,3335
Biz Stone,3322
Larry Wilmore,3293
Buzz Aldrin,3288
Jeremy Irons,3282
Dr. Temple Grandin,3281
Laurie Garrett,3278
Christopher Nolan,3274
Philippe Petit,3274
Dan Savage,3270
Jimmy Carter,3267
David Crosby,3248
Logic,3242
Fareed Zakaria,3241
Whoopi Goldberg,3239
Marques Brownlee,3228
Gina McCarthy,3228
Bill Maher,3228
Leilani Münter,3217
Ron Darling,3208
Queen Latifah,3206
Alexis Ohanian,3199
Norman Lear,3182
Raymond Teller,3181
Penn Jillette,3181
Bas Lansdorp,3172
Wayne Shorter,3146
Herbie Hancock,3146
Mayim Bialik,3143
Brian Cox,3087
Alan Rickman,3083
Revisited,3083
Arianna Huffington,3074
Ben Stiller,3059
Stephen Hawking,2819
Sasha Cohen,2726
Nina Roth,2681
Brad Gushue,2681
Taylor Lipsett,2651
Mike Shea,2651
Steve Mesler,2630
Curt Tomasevicz,2630
Othello Clark,2570
Dr. Skateboard,2570
Andrew Weibrecht,2350
Erin Mielzynski,2350
Geoff Ogilvy,2241
