Charlie Demers,80619
Alicia Tobin,67640
Nicole Passmore,55189
Paul F. Tompkins,54019
Erica Sigurdson,51059
Ivan Decker,48461
Kevin Lee,46365
Brent Butt,43602
Morgan Brayton,39505
Katie-Ellen Humphries,36915
Jon Dore,36789
Jane Stanton,36184
Caitlin Howden,34996
Abby Shumka,33980
Pat Kelly,33542
Ryan Beil,30445
Debra DiGiovanni,28618
Aaron Read,27974
Adam Pateman,27051
Phil Hanley,26834
Taz VanRassel,26528
Emmett Hall,26317
Mark Chavez,24922
Kyle Kinane,24786
Conor Holler,24597
Kyle Bottom,23977
Abby Campbell,23803
Steve Bays,23790
Christine Bortolin,23414
Sophie Buddle,22863
Amanda Brooke Perrin,22727
Kevin Banner,22706
Cam MacLeod,22572
Paul Anthony,21413
Dan Werb,21412
Josh Stubbs,21230
Brad MacNeil,21183
Lachlan Patterson,20825
Paul Myrehaug,19791
Mark Little,18934
Paul Bae,18469
Chris Locke,17655
Sarah Szloboda,17405
D.J. Demers,16890
Evany Rosen,16886
Andy Kallstrom,16755
Kathleen McGee,16584
Dino Archie,16511
Kayla Lorette,16498
Warren Bates,16457
Sean Proudlove,16421
Chris Wilson,16299
Scott Simpson,15871
Chris Gordon,15492
Kaitlin Fontana,15347
Jayden Pfeifer,15057
Steph Tolev,15033
Craig Anderson,14912
Moshe Kasher,14817
Allyson Smith,14799
Amy Goodmurphy,13261
Darcy Michael,13052
Mark Forward,12590
Pete Johansson,11985
Eddie Della Siepe,11683
Colt Cabana,11385
Damonde Tschritter,11300
Nima Gholamipour,11239
DeAnne Smith,11195
Dave Merheje,11167
Al Madrigal,11123
Michelle Shaughnessy,11036
Chris von Szombathy,11004
Christina Walkinshaw,10910
Peter Carlone,10776
Amber Harper-Young,10760
Alistair Cook,10687
Chris James,10609
Jeff McEnery,10476
Lori Gibbs,10459
Lauren Martin,10261
Cameron Reed,10025
Toby Hargrave,9998
Sunee Dhaliwal,9938
Marjorie Malpass,9815
Chris Fairbanks,9627
Rory Scovel,9452
Adam Lisagor,9273
Simon King,8787
Jason Bryden,8442
Bita Joudaki,8372
EVERY SEGMENT!,7101
Andy Haynes,6643
Todd Glass,6363
Tom Hill,6316
C.R. Avery,6261
Mike Thomas,6246
Ryan Williams,6239
Countdowns!,6221
Ember Konopaki,6190
Hawksley Workman,6175
John Roderick,6169
John Hodgman,6169
Tom Thakkar,6154
Lynn Shawcroft,6143
Meags Fitzgerald,6129
Amy Shostak,6112
Clare Belford,6108
James Hartnett,6099
Jenny Toews,6069
Kulap Vilaysack,6027
Beth Stelling,6009
Jen Kirkman,6004
K. Trevor Wilson,5998
Abdul Aziz,5967
Karen O'Keefe,5961
Christophe Davidson,5940
Sean Devlin,5936
Kory Mathewson,5885
Ryan Belleville,5860
Andy Kindler,5806
Chris Casillan,5777
Josie Long,5747
Cynthia Hopkins,5745
Fatima Dhowre,5733
Scott Thompson,5723
Dave Martin,5705
Alex Nussbaum,5686
Julia Hladkowicz,5676
Rhea Butcher,5671
Hari Kondabolu,5647
Pat Thornton,5644
Matt Braunger,5590
Gary Jones,5566
Ben McGinnis,5552
Ken Tremblett,5551
Craig Northey,5541
Ben Mills,5527
JJ Whitehead,5525
Ron Lynch,5523
Cass Keeley,5503
Rachel Burns,5482
Devin Mackenzie,5437
Josh Loewen,5406
Ian Boothby,5385
Brett Martin,5361
Shlomo McPeake,5355
David Heti,5346
Evan Wilson,5339
Glenn Wool,5327
Emily Heller,5302
Ross Dauk,5242
David Huntsberger,5230
Baron Vaughn,5208
Mike Paterson,5194
Cam Macleod,5184
Jy Harris,5154
Greg Behrendt,5115
A.J. Bond,5093
Nancy Robertson,5056
Stacey McLachlan,5046
Gabe Liedman,5037
AL Connors,5014
Pete Zedlacher,5002
Jimmy Pardo,5001
Diana Frances,4969
Guy MacPherson,4942
Mark Shumka,4927
Nikki Glaser,4886
Tanyalee Davis,4850
Dana Gould,4835
Sara Bynoe,4826
Matt Gourley,4824
Peter Oldring,4809
Jessica Delisle,4785
Myq Kaplan,4768
Pete,4763
Courtney Johansson,4763
Jimmy Barnes,4745
David Tsonos,4725
Graham's Brothers,4717
Ryan Hamilton,4685
Katie Crown,4681
Kurt Braunohler,4673
Mark McGuckin,4642
Becky Johnson,4543
Devon Lougheed,4541
Sam Easton,4496
Jamie Kilstein,4485
Allison Kilkenny,4485
Jordan Morris,4430
Shaun Stewart,4428
Kliph Nesteroff,4347
Dan Clark,4345
Alison Agosti,4257
Steve Patterson,4134
Dylan Rhymer,4058
David Milchard,4011
Orland Kurtenblog,3941
Paul Breau,3926
Seth Perry,3828
Sean Lecomber,3735
A.J. McKenzie,3683
Reggie Watts,3563
Olivia Mowatt,3546
Crumbs,3394
Gerald Varga,3315
Eddie Pepitone,3251
John Keister,2733
Ehren Salazar,2007
