Ben Thompson,11046
Chris Hayes,10025
Molly Ball,8553
Andrew Sullivan,6678
Tim Ferriss,6513
Cory Booker,6316
Robert Reich,6070
Rachel Maddow,6052
Jaron Lanier,5812
Dr. Leana Wen,5793
Kara Swisher,5723
Paul Krugman,5718
Atul Gawande,5656
Zephyr Teachout,5633
Julia Galef,5626
Bryan Stevenson,5622
David Frum,5524
Stewart Butterfield,5482
Rebecca Traister,5464
Malcolm Gladwell,5429
Deborah Tannen,5396
David Remnick,5366
Avik Roy,5311
W. Kamau Bell,5282
danah boyd,5278
Stripe CEO Patrick Collison,5236
Award-winning chef José Andrés,5213
Grant Gordon,5165
Arianna Huffington,5140
Evan Osnos,5085
Cal Newport,4817
Melissa Bell,4772
Sen. Michael Bennet,4771
Denis McDonough,4743
Bruce Friedrich,4588
Yuval Levin,4468
Heather McGhee,4444
Eddie Izzard,4431
VC Bill Gurley,4410
G. Willow Wilson,4356
Bhaskar Sunkara,4355
Jim Yong Kim,4347
Cecile Richards,4341
Tristan Harris,4236
Jonathan Cohn,4201
Michael Needham,4113
Jessica Valenti,4092
Kwame Anthony Appiah,4079
Neera Tanden,4065
Francis Fukuyama,4050
Joseph Stiglitz,3977
Jennifer Lawless,3668
Amy Chua,3554
Jon Favreau,3533
Jesse Eisenberg,3493
Theda Skocpol,3470
Al Franken,3394
Tony Podesta,3363
Arlie Hochschild,3343
Moby,3304
Mark Zuckerberg,2942
Elizabeth Warren,2845
Sylvia Matthews Burwell,2635
Patrick Brown,2571
Bill Gates,2434
