Jordan Peterson,34536
Ben Shapiro,25160
Bret Weinstein,22182
Eric Weinstein,20243
Sargon of Akkad,15817
Blaire White,13974
Michael Shermer,13484
Sam Harris,13112
Gad Saad,12268
Candace Owens,10492
Colin Moriarty,9743
Milo Yiannopoulos,9486
Tim Pool,9398
Dennis Prager,9145
Peter Boghossian,8745
Maajid Nawaz,8591
Douglas Murray,8276
Andrew Klavan,8189
Scott Adams,8131
Larry Elder,7986
Yaron Brook,7703
Laci Green,7295
Kelly Carlin,7226
Ayaan Hirsi Ali,6737
Onkar Ghate,6426
Richard Lewis,5729
James Damore,5564
and Steve Simpson,5514
Charlie Kirk,5350
Bob Saget,5336
David Horowitz,5269
Bill Whittle,5046
Dan Carlin,5032
Brandon Turner,5021
Bryan Caplan,4969
Lalo Dagach,4819
Lubna Ahmed,4711
Bradley Thompson,4630
Austin Petersen,4585
Deirdre McCloskey,4541
Rob McDonald,4519
Rucka Rucka Ali,4400
Andrew Seidel,4395
Tommy Sotomayer,4362
Jason Whitlock,4339
Dr. Mike Munger,4328
Thaddeus Russell,4294
Mark Duplass,4290
Greg Gutfeld,4256
Max Lugavere,4255
Clay Travis,4246
David Frum,4224
Tim Ferriss,4209
Mike Shellenberger,4190
Jessica Flanigan,4187
Flemming Rose,4172
Julie Lenarz,4166
Some Black Guy,4140
Brigitte Gabriel,4133
Dr. Abby Hall,4127
Alex Epstein,4115
Adam Carolla,4115
David Silverman,4110
Johnny C. Taylor,4108
Jack Conte,4105
David Smalley,4102
Brendan O’Neill,4085
Jeffrey Rogers Hummel,4083
Steven Crowder,4078
Rabbi Wolpe,4061
Cathy Young,4057
Steven Pinker,4047
Katie Hopkins,4011
Lauren Southern,4006
Steve Davies,3998
Kevin Gutzman,3997
Antonia Okafor,3991
Joanna Williams,3988
Ken Stern,3960
Yanis Varoufakis,3953
Dinesh D'Souza,3944
Michael Ian Black,3938
Trae Crowder,3868
Michael Malice,3857
Areva Martin,3855
Guy Benson,3851
Faisal Saeed Al Mutar,3828
Melissa Chen,3828
Sky Williams,3822
Tommy Robinson,3818
Michael Brown,3807
Shon Hopwood,3804
Philip DeFranco,3803
Glenn Beck,3792
Neel Kolhatkar,3780
Randy Barnett,3774
Paul Joseph Watson,3758
John Stossel,3734
Dr. Tino Sanandaji,3734
Stefan Molyneux,3726
Cassie Jaye,3716
Laura Kipnis,3712
Larry King,3710
Bishop Barron,3702
Jason Stapleton,3689
John Fugelsang,3680
Ambassador James Dobbins,3658
Don Lemon,3655
Christina Hoff Sommers,3641
Don Watkins,3626
David Sirota,3624
Pia Malaney,3618
Jerry Coyne,3617
Nick Cohen,3594
Brian Domitrovic,3589
Mike Cernovich,3583
"Taleed aka ""That Guy T""",3553
Tristan Harris,3549
Roger Ver,3545
"Karen Straughan aka ""Girl Writes What""",3543
Bunty king,3535
Rita Panahi,3514
Michael Steele,3506
"Phil aka ""Thunderf00t""",3503
Greg Fluhrer,3502
Ali Rizvi,3501
John Kasich,3494
Dr. Michael E. Mann,3453
Roaming Millennial,3433
Faisal Saeed Al-Mutar,3422
Jonathan Haidt,3421
Yasmine Mohammed,3378
Angel Teger,3368
Zoltan Istvan,3362
Owen Benjamin,3356
Inna Shevchenko,3351
Justin Little,3339
Hilary Rosen,3257
Tarek Fatah,3253
Arif Rahman,3224
Jaclyn Glenn,3220
Lindsay Shepherd,3197
Mark Pellegrino,3168
Roseanne Barr,3150
Sarah Haider,3130
Dr. Bill Warner,3129
Patrik Wincent,3020
Lawrence Krauss,2902
Cara Santa Maria,2878
Felicia Michaels,2868
Jimmy Dore,2868
Chris Ray Gun,2824
Liana Kerzner,2784
Governor Jesse Ventura,2725
Aron Flam,2697
"Joe aka ""The Pharaoh""",2544
Margaret Cho,2414
Bayan Sami Abdul Rahman,2359
Amos Yee,2302
Andrew Bogut,2261
David Pakman,2168
Bryan Wright,1903
Senator John McCain,1705
Governor Gary Johnson,1279
Stephen Fry,688
