Mark Epstein,5313
Salman Rushdie,4895
Peter Frankopan,4531
Isy Suttie,4294
Paul Theroux,3892
Maya Jasanoff,3828
Tara Westover,3755
Lawrence Krauss,3720
Manoush Zomorodi,3683
Timothy Spall,3682
Noël Wells,3626
Ari Shaffir,3602
Meg Wolitzer,3570
Scott Aukerman,3548
Neil Gaiman,3523
Daniel Alarcón,3504
Stephen Greenblatt,3496
Kory Stamper,3446
Richard Dawkins,3430
Claire Messud,3379
Jennifer Doudna,3379
Jacob Sager Weinstein,3370
Kurt Andersen,3361
Joyce Carol Oates,3343
Reza Aslan,3309
George Saunders,3307
Jelani Cobb,3267
Slavoj Žižek,3223
Ayelet Waldman,3187
Liza Jessie Peterson,3181
Gish Jen,3147
Nato Thompson,3119
Dean Buonomano,3111
Jonathon Keats,3102
Paul Bloom,3082
Sarah W. Goldhagen,3079
Michio Kaku,3076
Adam Alter,3071
Elif Batuman,3066
Aaron Mahnke,3065
Yuval Noah Harari,3058
Daniel Dennett,3052
Juli Berwald,3048
Ethan Hawke,3037
Alton Brown,3011
Martin Amis,2998
Mary Gaitskill,2989
Nancy Koehn,2973
Jeremy Bailenson,2951
Sheelah Kolhatkar,2878
Van Jones,2869
Neil deGrasse Tyson,2851
Amy Chua,2833
Anne Rice,2827
Matt Taibbi,2811
Alison Gopnik,2808
David Eagleman,2808
Fatih Akin,2790
Ariel Levy,2781
Tim Ferriss,2774
Bernard-Henri Lévy,2751
Niall Ferguson,2744
Jodi Picoult,2742
Krista Tippett,2735
Teju Cole,2705
Henry Rollins,2685
T.C. Boyle,2667
Margaret Atwood,2656
David Salle,2607
Sam Harris,2580
Karl Ove Knausgaard,2576
Alan Alda,2573
Ian McEwan,2570
Peter Godfrey-Smith,2561
Ben Goertzel,2532
Eric Kandel,2490
Jim Gaffigan,2469
Jeff Garlin,2465
Saul Williams,2431
William Shatner,2422
Geoff Dyer,2421
Chris Gethard,2398
Amani Al-Khatahtbeh,2370
Maria Popova,2369
James Gleick,2366
Neal Stephenson,2362
Nicole Galland,2362
Jacqueline Woodson,2332
Kate Tempest,2300
Marc Goodman,2299
Sean Wilentz,2285
Steven Pinker,2265
Mary Roach,2210
Douglas Rushkoff,2160
Mary-Louise Parker,2140
James McBride,2110
Nikhil Goyal,2106
Joshua Cohen,2098
Sarah Kay,2093
Amanda Palmer,2073
Michael Puett,2049
Yann Martel,2013
Bill Nye,1974
Alva Noë,1882
James Doty,1874
Sir David Hare,1864
Daniel Levitin,1812
Orhan Pamuk,1798
Ian Edwards,1796
Paul F. Tompkins,1792
George Takei,1776
A.O. Scott,1740
Junot Díaz,1633
Michael Shermer,1590
Baratunde Thurston,1583
Wendell Pierce,1577
Cory Booker,1549
Maira Kalman,1536
Norman Lear,1510
Howard Gardner,1510
Tina Roth Eisenberg,1405
Wendy Suzuki,1394
Jesse Ventura,1381
Maria Konnikova,1375
Clint Smith,1308
Jane McGonigal,1291
Ruth Reichl,1204
Jason Silva,1102
Brian Greene,937
