Jodi Miller,8446
Jay Leno,6993
John Ratzenberger,6191
Bert Kreischer,5812
Reggie Watts,5528
Jim Jefferies,5433
Brad Williams,5375
Jamie Clayton,5119
Julieanne Smolinski,5113
Greg Longstreet,5102
Jay Mohr,5101
Brendon Small,4995
Chris Porter,4945
Kevin Christy,4941
Peri Gilpin,4925
The Lucas Bros,4826
Chamillionaire,4800
Jonathan Kite,4798
Boyd Vico,4752
Brad Stevens,4752
Oliver Trevena,4689
Mary Lynn Rajskub,4635
Bob Saget,4609
Nick Youssef,4605
Jeff Miller,4601
Megan Rosati,4563
Cheri Oteri,4533
Adam Ray,4528
Rawson Marshall Thurber,4527
Jane Leeves,4505
Megan Koester,4426
Carnie Wilson,4396
Kevin Nealon,4391
Lizz Winstead,4375
Jo Koy,4370
Doug Benson,4309
Jessie Rosen,4278
Howie Mandel,4187
Jen Kirkman,4178
Kevin Pereira,4156
Kelly Oxford,4153
Joe Rogan,4137
Jon Cryer,4129
Lance Bass,4109
Dave Coulier,4096
Samantha Ronson,4051
Carrie Keagan,4018
John Heffron,3968
Tess Morris,3947
Neal Brennan,3936
Taylor Dayne,3935
Greg Proops,3921
Melissa Stetten,3919
Elayne Boosler,3908
Phil Hendrie,3888
Diablo Cody,3878
Dan Harmon,3874
Dr. Drew Pinsky,3872
Matt Besser,3857
Margaret Cho,3783
Jordan Gilbert,3779
Elan Gale,3727
Russell Howard,3688
Brendan Schaub,3624
Bryan Callen,3624
Alonzo Bodden,3622
Mayim Bialik,3614
Steve Simeone,3595
Kyle Kinane,3595
Paul Scheer,3574
Ben Gleib,3551
Marc Summers,3539
Ralph Garman,3539
Coco Peru,3538
Rick Overton,3511
Cody Heller,3469
Chris Kelly,3462
Owen Benjamin,3446
Steve Weissman,3428
Daniel Musto,3406
Orly Shani,3406
Alison Rosen,3385
Mark Ellis,3383
David Koechner,3367
Sarah Colonna,3338
Jake,3289
Amir,3289
Kelly Carlin,3232
Steve Agee,3127
Andriana Albert,3117
Michele Morrow,2936
Adam Carolla,2916
Rolling Solo,2346
