Dr Brad Evans,19867
Yanis Varoufakis,9737
Adam Curtis,9270
Yuval Noah Harari,8916
Sam Harris,7439
Jordan Peterson,5818
Prof Barry Smith,5012
David Harvey,4989
Ryron,4761
Rener Gracie,4761
Professor Tony Howard,4649
Andy Puddicombe,4623
Billy Bragg,4530
Kehinde Andrews,4491
Prof Sophie Scott,4475
Frankie Boyle,4209
Sharon Salzberg,4200
Brian Cox,4184
Ruby Wax,4103
Anne Phillips,4055
Rupert Sheldrake,4022
Carne Ross,4009
Simon Amstell,3994
Ed Stafford,3986
Dr Robin Carhart-Harris,3964
Francesca Martinez,3961
Raoul,3961
Pankaj Mishra,3905
Alister McGrath,3900
Noel Fitzpatrick,3898
Will Storr,3894
Jason Hickel,3882
Mae Martin,3879
Paul Gilroy,3833
Simon Critchley,3772
Lindsey German,3754
Matthew Todd,3670
Gary Younge,3651
Jacques Peretti,3581
George Monbiot,3575
Luke Harding,3535
Rabbi Dr Jonathan Romain,3436
Naomi Klein,3426
Emma Kenny,3300
Brad Evans,2979
Chirlane McCray,2828
Isabel Losada,2618
Al Gore,2076
