Paul Bloom,19702
Douglas Murray,18596
Max Tegmark,17477
Andrew Sullivan,17137
Eric Weinstein,16790
David Frum,16129
Jordan Peterson,14724
Joseph Goldstein,13443
David Deutsch,13347
Omer Aziz,12688
Siddhartha Mukherjee,12139
Anil K. Seth,11171
Shadi Hamid,9375
Christian Picciolini,9078
Robin Hanson,8517
Gavin de Becker,8499
David Pizarro,8449
Tamler Sommers,8449
Charles Murray,8282
Scott Adams,8245
Lawrence Krauss,8227
Ben Shapiro,8147
Robert Wright,7983
William MacAskill,7821
Geoffrey West,7771
Bret Weinstein,7741
Dan Carlin,7656
Lawrence Wright,7649
Gary Taubes,7638
Maryam Namazie,7622
Joseph Romm,7612
Glenn C. Loury,7587
Niall Ferguson,7390
Jonathan Haidt,7076
Peter Singer,7056
David Benatar,6969
Rebecca Goldstein,6947
Thomas Metzinger,6862
A.J. Jacobs,6799
Gad Saad,6700
Michael Weiss,6562
Tristan Harris,6504
Rob Reid,6478
Sarah Haider,6345
Graeme Wood,6341
Jocko Willink,6328
David Chalmers,6285
Neil deGrasse Tyson,6270
Daniel Dennett,6253
Scott Reitz,6239
Kevin Kelly,6184
David Krakauer,6179
Nicholas Christakis,6080
Tom Nichols,5900
Robert Sapolsky,5894
Yuval Noah Harari,5527
Zeynep Tufekci,5386
Daniel Goleman,5273
Richard J. Davidson,5273
Fareed Zakaria,5080
Juliette Kayyem,4967
Cass R. Sunstein,4931
Anne Applebaum,4921
James Kirchick,4904
Timothy Snyder,4763
Mark Lilla,4657
Stuart Russell,4549
Megan Phelps,4463
Kurt Andersen,4283
Joshua Oppenheimer,4258
Preet Bharara,4155
Mark Bowden,4144
Frank Ostaseski,4080
Uma Valeti,4030
Kate Darling,4016
Jerry Coyne,3989
Lynn Novick,3690
Ken Burns,3690
Ayaan Hirsi Ali,3531
David Brooks,3494
Jennifer A. Doudna,2900
Gen. Michael V. Hayden,2325
